"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Jul-27-2019)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Colorado,EIP,2018-19,2018,40,0-4 yr,0,0
Colorado,EIP,2018-19,2018,41,0-4 yr,0,0
Colorado,EIP,2018-19,2018,42,0-4 yr,0,0
Colorado,EIP,2018-19,2018,43,0-4 yr,0,0
Colorado,EIP,2018-19,2018,44,0-4 yr,0,0
Colorado,EIP,2018-19,2018,45,0-4 yr,1.2,1.2
Colorado,EIP,2018-19,2018,46,0-4 yr,1.2,0
Colorado,EIP,2018-19,2018,47,0-4 yr,1.8,0.6
Colorado,EIP,2018-19,2018,48,0-4 yr,6.5,4.7
Colorado,EIP,2018-19,2018,49,0-4 yr,12.9,6.5
Colorado,EIP,2018-19,2018,50,0-4 yr,21.2,8.2
Colorado,EIP,2018-19,2018,51,0-4 yr,37.7,16.5
Colorado,EIP,2018-19,2018,52,0-4 yr,53,15.3
Colorado,EIP,2018-19,2019,1,0-4 yr,59.4,6.5
Colorado,EIP,2018-19,2019,2,0-4 yr,64.1,4.7
Colorado,EIP,2018-19,2019,3,0-4 yr,68.9,4.7
Colorado,EIP,2018-19,2019,4,0-4 yr,74.1,5.3
Colorado,EIP,2018-19,2019,5,0-4 yr,80,5.9
Colorado,EIP,2018-19,2019,6,0-4 yr,84.7,4.7
Colorado,EIP,2018-19,2019,7,0-4 yr,90,5.3
Colorado,EIP,2018-19,2019,8,0-4 yr,94.2,4.1
Colorado,EIP,2018-19,2019,9,0-4 yr,99.5,5.3
Colorado,EIP,2018-19,2019,10,0-4 yr,112.4,12.9
Colorado,EIP,2018-19,2019,11,0-4 yr,118.3,5.9
Colorado,EIP,2018-19,2019,12,0-4 yr,121.8,3.5
Colorado,EIP,2018-19,2019,13,0-4 yr,124.8,2.9
Colorado,EIP,2018-19,2019,14,0-4 yr,127.1,2.4
Colorado,EIP,2018-19,2019,15,0-4 yr,127.7,0.6
Colorado,EIP,2018-19,2019,16,0-4 yr,128.9,1.2
Colorado,EIP,2018-19,2019,17,0-4 yr,129.5,0.6
Colorado,EIP,2018-19,2018,40,5-17 yr,0,0
Colorado,EIP,2018-19,2018,41,5-17 yr,0,0
Colorado,EIP,2018-19,2018,42,5-17 yr,0,0
