"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Jul-27-2019)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Connecticut,EIP,2018-19,2018,40,0-4 yr,0,0
Connecticut,EIP,2018-19,2018,41,0-4 yr,0,0
Connecticut,EIP,2018-19,2018,42,0-4 yr,0,0
Connecticut,EIP,2018-19,2018,43,0-4 yr,0,0
Connecticut,EIP,2018-19,2018,44,0-4 yr,1.9,1.9
Connecticut,EIP,2018-19,2018,45,0-4 yr,1.9,0
Connecticut,EIP,2018-19,2018,46,0-4 yr,1.9,0
Connecticut,EIP,2018-19,2018,47,0-4 yr,1.9,0
Connecticut,EIP,2018-19,2018,48,0-4 yr,1.9,0
Connecticut,EIP,2018-19,2018,49,0-4 yr,1.9,0
Connecticut,EIP,2018-19,2018,50,0-4 yr,1.9,0
Connecticut,EIP,2018-19,2018,51,0-4 yr,1.9,0
Connecticut,EIP,2018-19,2018,52,0-4 yr,7.8,5.8
Connecticut,EIP,2018-19,2019,1,0-4 yr,13.6,5.8
Connecticut,EIP,2018-19,2019,2,0-4 yr,17.5,3.9
Connecticut,EIP,2018-19,2019,3,0-4 yr,23.4,5.8
Connecticut,EIP,2018-19,2019,4,0-4 yr,29.2,5.8
Connecticut,EIP,2018-19,2019,5,0-4 yr,42.9,13.6
Connecticut,EIP,2018-19,2019,6,0-4 yr,46.8,3.9
Connecticut,EIP,2018-19,2019,7,0-4 yr,52.6,5.8
Connecticut,EIP,2018-19,2019,8,0-4 yr,60.4,7.8
Connecticut,EIP,2018-19,2019,9,0-4 yr,64.3,3.9
Connecticut,EIP,2018-19,2019,10,0-4 yr,74.1,9.7
Connecticut,EIP,2018-19,2019,11,0-4 yr,74.1,0
Connecticut,EIP,2018-19,2019,12,0-4 yr,76,1.9
Connecticut,EIP,2018-19,2019,13,0-4 yr,81.9,5.8
Connecticut,EIP,2018-19,2019,14,0-4 yr,83.8,1.9
Connecticut,EIP,2018-19,2019,15,0-4 yr,83.8,0
Connecticut,EIP,2018-19,2019,16,0-4 yr,85.8,1.9
Connecticut,EIP,2018-19,2019,17,0-4 yr,85.8,0
Connecticut,EIP,2018-19,2018,40,5-17 yr,0,0
Connecticut,EIP,2018-19,2018,41,5-17 yr,0,0
Connecticut,EIP,2018-19,2018,42,5-17 yr,0,0
Connecticut,EIP,2018-19,2018,43,5-17 yr,0,0
Connecticut,EIP,2018-19,2018,44,5-17 yr,0,0
Connecticut,EIP,2018-19,2018,45,5-17 yr,0,0
Connecticut,EIP,2018-19,2018,46,5-17 yr,0,0
Connecticut,EIP,2018-19,2018,47,5-17 yr,0,0
Connecticut,EIP,2018-19,2018,48,5-17 yr,0,0
Connecticut,EIP,2018-19,2018,49,5-17 yr,0,0
Connecticut,EIP,2018-19,2018,50,5-17 yr,0,0
Connecticut,EIP,2018-19,2018,51,5-17 yr,2,2
Connecticut,EIP,2018-19,2018,52,5-17 yr,2,0
Connecticut,EIP,2018-19,2019,1,5-17 yr,2,0
Connecticut,EIP,2018-19,2019,2,5-17 yr,3.3,1.3
Connecticut,EIP,2018-19,2019,3,5-17 yr,5.9,2.6
Connecticut,EIP,2018-19,2019,4,5-17 yr,5.9,0
Connecticut,EIP,2018-19,2019,5,5-17 yr,12.4,6.5
Connecticut,EIP,2018-19,2019,6,5-17 yr,13.1,0.7
Connecticut,EIP,2018-19,2019,7,5-17 yr,14.4,1.3
Connecticut,EIP,2018-19,2019,8,5-17 yr,15,0.7
Connecticut,EIP,2018-19,2019,9,5-17 yr,16.3,1.3
Connecticut,EIP,2018-19,2019,10,5-17 yr,17.6,1.3
Connecticut,EIP,2018-19,2019,11,5-17 yr,17.6,0
Connecticut,EIP,2018-19,2019,12,5-17 yr,17.6,0
Connecticut,EIP,2018-19,2019,13,5-17 yr,18.3,0.7
Connecticut,EIP,2018-19,2019,14,5-17 yr,20.3,2
Connecticut,EIP,2018-19,2019,15,5-17 yr,20.9,0.7
Connecticut,EIP,2018-19,2019,16,5-17 yr,20.9,0
Connecticut,EIP,2018-19,2019,17,5-17 yr,20.9,0
Connecticut,EIP,2018-19,2018,40,18-49 yr,0,0
Connecticut,EIP,2018-19,2018,41,18-49 yr,0.2,0.2
Connecticut,EIP,2018-19,2018,42,18-49 yr,0.2,0
Connecticut,EIP,2018-19,2018,43,18-49 yr,0.2,0
Connecticut,EIP,2018-19,2018,44,18-49 yr,0.7,0.5
Connecticut,EIP,2018-19,2018,45,18-49 yr,0.7,0
Connecticut,EIP,2018-19,2018,46,18-49 yr,0.7,0
Connecticut,EIP,2018-19,2018,47,18-49 yr,0.7,0
