"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Jul-27-2019)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Maryland,EIP,2003-04,2003,40,0-4 yr,0,0
Maryland,EIP,2003-04,2003,41,0-4 yr,0,0
Maryland,EIP,2003-04,2003,42,0-4 yr,0,0
Maryland,EIP,2003-04,2003,43,0-4 yr,0,0
Maryland,EIP,2003-04,2003,44,0-4 yr,0,0
Maryland,EIP,2003-04,2003,45,0-4 yr,0,0
Maryland,EIP,2003-04,2003,46,0-4 yr,0.6,0.6
Maryland,EIP,2003-04,2003,47,0-4 yr,2.4,1.8
Maryland,EIP,2003-04,2003,48,0-4 yr,10.3,7.9
Maryland,EIP,2003-04,2003,49,0-4 yr,22.4,12.1
Maryland,EIP,2003-04,2003,50,0-4 yr,38.8,16.4
Maryland,EIP,2003-04,2003,51,0-4 yr,59.4,20.6
Maryland,EIP,2003-04,2003,52,0-4 yr,76.4,17
Maryland,EIP,2003-04,2003,53,0-4 yr,84.9,8.5
Maryland,EIP,2003-04,2004,1,0-4 yr,90.4,5.5
Maryland,EIP,2003-04,2004,2,0-4 yr,95.2,4.9
Maryland,EIP,2003-04,2004,3,0-4 yr,97,1.8
Maryland,EIP,2003-04,2004,4,0-4 yr,97,0
Maryland,EIP,2003-04,2004,5,0-4 yr,97.6,0.6
Maryland,EIP,2003-04,2004,6,0-4 yr,98.8,1.2
Maryland,EIP,2003-04,2004,7,0-4 yr,98.8,0
Maryland,EIP,2003-04,2004,8,0-4 yr,98.8,0
Maryland,EIP,2003-04,2004,9,0-4 yr,98.8,0
Maryland,EIP,2003-04,2004,10,0-4 yr,99.4,0.6
Maryland,EIP,2003-04,2004,11,0-4 yr,99.4,0
Maryland,EIP,2003-04,2004,12,0-4 yr,99.4,0
Maryland,EIP,2003-04,2004,13,0-4 yr,99.4,0
Maryland,EIP,2003-04,2004,14,0-4 yr,99.4,0
Maryland,EIP,2003-04,2004,15,0-4 yr,99.4,0
Maryland,EIP,2003-04,2004,16,0-4 yr,99.4,0
Maryland,EIP,2003-04,2004,17,0-4 yr,99.4,0
Maryland,EIP,2003-04,2003,40,5-17 yr,0,0
Maryland,EIP,2003-04,2003,41,5-17 yr,0,0
Maryland,EIP,2003-04,2003,42,5-17 yr,0,0
Maryland,EIP,2003-04,2003,43,5-17 yr,0,0
Maryland,EIP,2003-04,2003,44,5-17 yr,0,0
Maryland,EIP,2003-04,2003,45,5-17 yr,0,0
Maryland,EIP,2003-04,2003,46,5-17 yr,0.2,0.2
Maryland,EIP,2003-04,2003,47,5-17 yr,1.5,1.3
