"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Jul-27-2019)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
New Mexico,EIP,2018-19,2018,40,0-4 yr,0,0
New Mexico,EIP,2018-19,2018,41,0-4 yr,0,0
New Mexico,EIP,2018-19,2018,42,0-4 yr,0,0
New Mexico,EIP,2018-19,2018,43,0-4 yr,1.3,1.3
New Mexico,EIP,2018-19,2018,44,0-4 yr,2.6,1.3
New Mexico,EIP,2018-19,2018,45,0-4 yr,2.6,0
New Mexico,EIP,2018-19,2018,46,0-4 yr,2.6,0
New Mexico,EIP,2018-19,2018,47,0-4 yr,2.6,0
New Mexico,EIP,2018-19,2018,48,0-4 yr,3.9,1.3
New Mexico,EIP,2018-19,2018,49,0-4 yr,7.9,3.9
New Mexico,EIP,2018-19,2018,50,0-4 yr,15.8,7.9
New Mexico,EIP,2018-19,2018,51,0-4 yr,30.2,14.5
New Mexico,EIP,2018-19,2018,52,0-4 yr,52.6,22.3
New Mexico,EIP,2018-19,2019,1,0-4 yr,65.7,13.1
New Mexico,EIP,2018-19,2019,2,0-4 yr,86.8,21
New Mexico,EIP,2018-19,2019,3,0-4 yr,96,9.2
New Mexico,EIP,2018-19,2019,4,0-4 yr,103.8,7.9
New Mexico,EIP,2018-19,2019,5,0-4 yr,114.4,10.5
New Mexico,EIP,2018-19,2019,6,0-4 yr,123.6,9.2
New Mexico,EIP,2018-19,2019,7,0-4 yr,134.1,10.5
New Mexico,EIP,2018-19,2019,8,0-4 yr,148.5,14.5
New Mexico,EIP,2018-19,2019,9,0-4 yr,160.4,11.8
New Mexico,EIP,2018-19,2019,10,0-4 yr,169.6,9.2
New Mexico,EIP,2018-19,2019,11,0-4 yr,177.5,7.9
New Mexico,EIP,2018-19,2019,12,0-4 yr,180.1,2.6
New Mexico,EIP,2018-19,2019,13,0-4 yr,188,7.9
New Mexico,EIP,2018-19,2019,14,0-4 yr,194.6,6.6
New Mexico,EIP,2018-19,2019,15,0-4 yr,197.2,2.6
New Mexico,EIP,2018-19,2019,16,0-4 yr,201.1,3.9
New Mexico,EIP,2018-19,2019,17,0-4 yr,201.1,0
New Mexico,EIP,2018-19,2018,40,5-17 yr,0,0
New Mexico,EIP,2018-19,2018,41,5-17 yr,0,0
New Mexico,EIP,2018-19,2018,42,5-17 yr,1.4,1.4
New Mexico,EIP,2018-19,2018,43,5-17 yr,1.8,0.5
New Mexico,EIP,2018-19,2018,44,5-17 yr,1.8,0
New Mexico,EIP,2018-19,2018,45,5-17 yr,2.3,0.5
New Mexico,EIP,2018-19,2018,46,5-17 yr,2.3,0
New Mexico,EIP,2018-19,2018,47,5-17 yr,2.3,0
New Mexico,EIP,2018-19,2018,48,5-17 yr,2.7,0.5
New Mexico,EIP,2018-19,2018,49,5-17 yr,2.7,0
New Mexico,EIP,2018-19,2018,50,5-17 yr,3.7,0.9
New Mexico,EIP,2018-19,2018,51,5-17 yr,6.9,3.2
New Mexico,EIP,2018-19,2018,52,5-17 yr,10.1,3.2
New Mexico,EIP,2018-19,2019,1,5-17 yr,10.5,0.5
New Mexico,EIP,2018-19,2019,2,5-17 yr,12.8,2.3
New Mexico,EIP,2018-19,2019,3,5-17 yr,17.4,4.6
New Mexico,EIP,2018-19,2019,4,5-17 yr,20.1,2.7
New Mexico,EIP,2018-19,2019,5,5-17 yr,23.4,3.2
New Mexico,EIP,2018-19,2019,6,5-17 yr,27.5,4.1
