"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Jul-27-2019)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Tennessee,EIP,2018-19,2018,40,0-4 yr,0,0
Tennessee,EIP,2018-19,2018,41,0-4 yr,0.9,0.9
Tennessee,EIP,2018-19,2018,42,0-4 yr,0.9,0
Tennessee,EIP,2018-19,2018,43,0-4 yr,1.8,0.9
Tennessee,EIP,2018-19,2018,44,0-4 yr,1.8,0
Tennessee,EIP,2018-19,2018,45,0-4 yr,2.7,0.9
Tennessee,EIP,2018-19,2018,46,0-4 yr,5.5,2.7
Tennessee,EIP,2018-19,2018,47,0-4 yr,8.2,2.7
Tennessee,EIP,2018-19,2018,48,0-4 yr,9.1,0.9
Tennessee,EIP,2018-19,2018,49,0-4 yr,10.9,1.8
Tennessee,EIP,2018-19,2018,50,0-4 yr,11.8,0.9
Tennessee,EIP,2018-19,2018,51,0-4 yr,13.6,1.8
Tennessee,EIP,2018-19,2018,52,0-4 yr,15.5,1.8
Tennessee,EIP,2018-19,2019,1,0-4 yr,20.9,5.5
Tennessee,EIP,2018-19,2019,2,0-4 yr,23.6,2.7
Tennessee,EIP,2018-19,2019,3,0-4 yr,23.6,0
Tennessee,EIP,2018-19,2019,4,0-4 yr,25.5,1.8
Tennessee,EIP,2018-19,2019,5,0-4 yr,26.4,0.9
Tennessee,EIP,2018-19,2019,6,0-4 yr,30,3.6
Tennessee,EIP,2018-19,2019,7,0-4 yr,30.9,0.9
Tennessee,EIP,2018-19,2019,8,0-4 yr,33.6,2.7
Tennessee,EIP,2018-19,2019,9,0-4 yr,33.6,0
Tennessee,EIP,2018-19,2019,10,0-4 yr,35.4,1.8
Tennessee,EIP,2018-19,2019,11,0-4 yr,36.4,0.9
Tennessee,EIP,2018-19,2019,12,0-4 yr,38.2,1.8
Tennessee,EIP,2018-19,2019,13,0-4 yr,38.2,0
Tennessee,EIP,2018-19,2019,14,0-4 yr,40.9,2.7
Tennessee,EIP,2018-19,2019,15,0-4 yr,42.7,1.8
Tennessee,EIP,2018-19,2019,16,0-4 yr,42.7,0
Tennessee,EIP,2018-19,2019,17,0-4 yr,43.6,0.9
Tennessee,EIP,2018-19,2018,40,5-17 yr,0,0
Tennessee,EIP,2018-19,2018,41,5-17 yr,0,0
Tennessee,EIP,2018-19,2018,42,5-17 yr,0,0
Tennessee,EIP,2018-19,2018,43,5-17 yr,0,0
Tennessee,EIP,2018-19,2018,44,5-17 yr,0.3,0.3
Tennessee,EIP,2018-19,2018,45,5-17 yr,0.7,0.3
Tennessee,EIP,2018-19,2018,46,5-17 yr,0.7,0
Tennessee,EIP,2018-19,2018,47,5-17 yr,0.7,0
Tennessee,EIP,2018-19,2018,48,5-17 yr,0.7,0
Tennessee,EIP,2018-19,2018,49,5-17 yr,1,0.3
Tennessee,EIP,2018-19,2018,50,5-17 yr,1.7,0.7
Tennessee,EIP,2018-19,2018,51,5-17 yr,1.7,0
Tennessee,EIP,2018-19,2018,52,5-17 yr,2.8,1
Tennessee,EIP,2018-19,2019,1,5-17 yr,3.1,0.3
Tennessee,EIP,2018-19,2019,2,5-17 yr,3.1,0
Tennessee,EIP,2018-19,2019,3,5-17 yr,3.4,0.3
Tennessee,EIP,2018-19,2019,4,5-17 yr,3.8,0.3
Tennessee,EIP,2018-19,2019,5,5-17 yr,4.1,0.3
Tennessee,EIP,2018-19,2019,6,5-17 yr,5.2,1
Tennessee,EIP,2018-19,2019,7,5-17 yr,6.9,1.7
Tennessee,EIP,2018-19,2019,8,5-17 yr,8.6,1.7
Tennessee,EIP,2018-19,2019,9,5-17 yr,9,0.3
Tennessee,EIP,2018-19,2019,10,5-17 yr,9,0
Tennessee,EIP,2018-19,2019,11,5-17 yr,9.3,0.3
Tennessee,EIP,2018-19,2019,12,5-17 yr,9.3,0
Tennessee,EIP,2018-19,2019,13,5-17 yr,9.3,0
Tennessee,EIP,2018-19,2019,14,5-17 yr,9.6,0.3
