"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Jul-27-2019)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Michigan,IHSP,2009-10,2009,35,0-4 yr,0,0
Michigan,IHSP,2009-10,2009,36,0-4 yr,0,0
Michigan,IHSP,2009-10,2009,37,0-4 yr,0,0
Michigan,IHSP,2009-10,2009,38,0-4 yr,0,0
Michigan,IHSP,2009-10,2009,39,0-4 yr,0,0
Michigan,IHSP,2009-10,2009,40,0-4 yr,11.2,11.2
Michigan,IHSP,2009-10,2009,41,0-4 yr,29.9,18.7
Michigan,IHSP,2009-10,2009,42,0-4 yr,67.3,37.4
Michigan,IHSP,2009-10,2009,43,0-4 yr,127.1,59.8
Michigan,IHSP,2009-10,2009,44,0-4 yr,142,14.9
Michigan,IHSP,2009-10,2009,45,0-4 yr,145.8,3.7
Michigan,IHSP,2009-10,2009,46,0-4 yr,160.7,14.9
Michigan,IHSP,2009-10,2009,47,0-4 yr,164.4,3.7
Michigan,IHSP,2009-10,2009,48,0-4 yr,168.2,3.7
Michigan,IHSP,2009-10,2009,49,0-4 yr,171.9,3.7
Michigan,IHSP,2009-10,2009,50,0-4 yr,179.4,7.5
Michigan,IHSP,2009-10,2009,51,0-4 yr,179.4,0
Michigan,IHSP,2009-10,2009,52,0-4 yr,179.4,0
Michigan,IHSP,2009-10,2010,1,0-4 yr,179.4,0
Michigan,IHSP,2009-10,2010,2,0-4 yr,179.4,0
Michigan,IHSP,2009-10,2010,3,0-4 yr,179.4,0
Michigan,IHSP,2009-10,2010,4,0-4 yr,179.4,0
Michigan,IHSP,2009-10,2010,5,0-4 yr,186.9,7.5
Michigan,IHSP,2009-10,2010,6,0-4 yr,190.6,3.7
Michigan,IHSP,2009-10,2010,7,0-4 yr,190.6,0
Michigan,IHSP,2009-10,2010,8,0-4 yr,194.3,3.7
Michigan,IHSP,2009-10,2010,9,0-4 yr,198.1,3.7
Michigan,IHSP,2009-10,2010,10,0-4 yr,201.8,3.7
Michigan,IHSP,2009-10,2010,11,0-4 yr,209.3,7.5
Michigan,IHSP,2009-10,2010,12,0-4 yr,209.3,0
Michigan,IHSP,2009-10,2010,13,0-4 yr,213,3.7
Michigan,IHSP,2009-10,2010,14,0-4 yr,213,0
Michigan,IHSP,2009-10,2010,15,0-4 yr,216.8,3.7
Michigan,IHSP,2009-10,2010,16,0-4 yr,220.5,3.7
Michigan,IHSP,2009-10,2010,17,0-4 yr,224.2,3.7
Michigan,IHSP,2009-10,2009,35,5-17 yr,0,0
Michigan,IHSP,2009-10,2009,36,5-17 yr,0,0
Michigan,IHSP,2009-10,2009,37,5-17 yr,0,0
