"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Jul-27-2019)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Ohio,IHSP,2018-19,2018,40,0-4 yr,0,0
Ohio,IHSP,2018-19,2018,41,0-4 yr,0,0
Ohio,IHSP,2018-19,2018,42,0-4 yr,0,0
Ohio,IHSP,2018-19,2018,43,0-4 yr,0,0
Ohio,IHSP,2018-19,2018,44,0-4 yr,0,0
Ohio,IHSP,2018-19,2018,45,0-4 yr,0,0
Ohio,IHSP,2018-19,2018,46,0-4 yr,0,0
Ohio,IHSP,2018-19,2018,47,0-4 yr,0.7,0.7
Ohio,IHSP,2018-19,2018,48,0-4 yr,0.7,0
Ohio,IHSP,2018-19,2018,49,0-4 yr,0.7,0
Ohio,IHSP,2018-19,2018,50,0-4 yr,2.1,1.4
Ohio,IHSP,2018-19,2018,51,0-4 yr,2.9,0.7
Ohio,IHSP,2018-19,2018,52,0-4 yr,2.9,0
Ohio,IHSP,2018-19,2019,1,0-4 yr,3.6,0.7
Ohio,IHSP,2018-19,2019,2,0-4 yr,3.6,0
Ohio,IHSP,2018-19,2019,3,0-4 yr,4.3,0.7
Ohio,IHSP,2018-19,2019,4,0-4 yr,7.9,3.6
Ohio,IHSP,2018-19,2019,5,0-4 yr,8.6,0.7
Ohio,IHSP,2018-19,2019,6,0-4 yr,9.3,0.7
Ohio,IHSP,2018-19,2019,7,0-4 yr,11.5,2.1
Ohio,IHSP,2018-19,2019,8,0-4 yr,14.3,2.9
Ohio,IHSP,2018-19,2019,9,0-4 yr,15.8,1.4
Ohio,IHSP,2018-19,2019,10,0-4 yr,19.3,3.6
Ohio,IHSP,2018-19,2019,11,0-4 yr,23.6,4.3
Ohio,IHSP,2018-19,2019,12,0-4 yr,25.1,1.4
Ohio,IHSP,2018-19,2019,13,0-4 yr,27.9,2.9
Ohio,IHSP,2018-19,2019,14,0-4 yr,30.1,2.1
Ohio,IHSP,2018-19,2019,15,0-4 yr,31.5,1.4
Ohio,IHSP,2018-19,2019,16,0-4 yr,31.5,0
Ohio,IHSP,2018-19,2019,17,0-4 yr,31.5,0
Ohio,IHSP,2018-19,2018,40,5-17 yr,0,0
Ohio,IHSP,2018-19,2018,41,5-17 yr,0,0
Ohio,IHSP,2018-19,2018,42,5-17 yr,0,0
Ohio,IHSP,2018-19,2018,43,5-17 yr,0,0
Ohio,IHSP,2018-19,2018,44,5-17 yr,0,0
Ohio,IHSP,2018-19,2018,45,5-17 yr,0,0
Ohio,IHSP,2018-19,2018,46,5-17 yr,0,0
Ohio,IHSP,2018-19,2018,47,5-17 yr,0,0
Ohio,IHSP,2018-19,2018,48,5-17 yr,0,0
Ohio,IHSP,2018-19,2018,49,5-17 yr,0,0
Ohio,IHSP,2018-19,2018,50,5-17 yr,0,0
Ohio,IHSP,2018-19,2018,51,5-17 yr,0.8,0.8
Ohio,IHSP,2018-19,2018,52,5-17 yr,1.4,0.6
Ohio,IHSP,2018-19,2019,1,5-17 yr,1.4,0
Ohio,IHSP,2018-19,2019,2,5-17 yr,1.4,0
Ohio,IHSP,2018-19,2019,3,5-17 yr,1.7,0.3
Ohio,IHSP,2018-19,2019,4,5-17 yr,2.3,0.6
Ohio,IHSP,2018-19,2019,5,5-17 yr,3.4,1.1
Ohio,IHSP,2018-19,2019,6,5-17 yr,4,0.6
Ohio,IHSP,2018-19,2019,7,5-17 yr,4.2,0.3
Ohio,IHSP,2018-19,2019,8,5-17 yr,6.2,2
Ohio,IHSP,2018-19,2019,9,5-17 yr,6.2,0
Ohio,IHSP,2018-19,2019,10,5-17 yr,6.5,0.3
Ohio,IHSP,2018-19,2019,11,5-17 yr,7.6,1.1
Ohio,IHSP,2018-19,2019,12,5-17 yr,9.6,2
Ohio,IHSP,2018-19,2019,13,5-17 yr,9.9,0.3
Ohio,IHSP,2018-19,2019,14,5-17 yr,10.2,0.3
Ohio,IHSP,2018-19,2019,15,5-17 yr,10.2,0
Ohio,IHSP,2018-19,2019,16,5-17 yr,11,0.8
Ohio,IHSP,2018-19,2019,17,5-17 yr,11.3,0.3
Ohio,IHSP,2018-19,2018,40,18-49 yr,0.1,0.1
Ohio,IHSP,2018-19,2018,41,18-49 yr,0.2,0.1
Ohio,IHSP,2018-19,2018,42,18-49 yr,0.2,0
Ohio,IHSP,2018-19,2018,43,18-49 yr,0.2,0
Ohio,IHSP,2018-19,2018,44,18-49 yr,0.2,0
Ohio,IHSP,2018-19,2018,45,18-49 yr,0.2,0
Ohio,IHSP,2018-19,2018,46,18-49 yr,0.2,0
Ohio,IHSP,2018-19,2018,47,18-49 yr,0.4,0.2
Ohio,IHSP,2018-19,2018,48,18-49 yr,0.7,0.3
Ohio,IHSP,2018-19,2018,49,18-49 yr,0.9,0.1
Ohio,IHSP,2018-19,2018,50,18-49 yr,1.1,0.2
Ohio,IHSP,2018-19,2018,51,18-49 yr,1.2,0.1
