"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Jul-27-2019)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Oklahoma,IHSP,2009-10,2009,35,0-4 yr,0,0
Oklahoma,IHSP,2009-10,2009,36,0-4 yr,1.3,1.3
Oklahoma,IHSP,2009-10,2009,37,0-4 yr,10.8,9.4
Oklahoma,IHSP,2009-10,2009,38,0-4 yr,21.5,10.8
Oklahoma,IHSP,2009-10,2009,39,0-4 yr,40.4,18.9
Oklahoma,IHSP,2009-10,2009,40,0-4 yr,63.3,22.9
Oklahoma,IHSP,2009-10,2009,41,0-4 yr,88.9,25.6
Oklahoma,IHSP,2009-10,2009,42,0-4 yr,106.4,17.5
Oklahoma,IHSP,2009-10,2009,43,0-4 yr,115.8,9.4
Oklahoma,IHSP,2009-10,2009,44,0-4 yr,121.2,5.4
Oklahoma,IHSP,2009-10,2009,45,0-4 yr,125.2,4
Oklahoma,IHSP,2009-10,2009,46,0-4 yr,125.2,0
Oklahoma,IHSP,2009-10,2009,47,0-4 yr,126.6,1.3
Oklahoma,IHSP,2009-10,2009,48,0-4 yr,127.9,1.3
Oklahoma,IHSP,2009-10,2009,49,0-4 yr,130.6,2.7
Oklahoma,IHSP,2009-10,2009,50,0-4 yr,132,1.3
Oklahoma,IHSP,2009-10,2009,51,0-4 yr,137.3,5.4
Oklahoma,IHSP,2009-10,2009,52,0-4 yr,137.3,0
Oklahoma,IHSP,2009-10,2010,1,0-4 yr,137.3,0
Oklahoma,IHSP,2009-10,2010,2,0-4 yr,137.3,0
Oklahoma,IHSP,2009-10,2010,3,0-4 yr,137.3,0
Oklahoma,IHSP,2009-10,2010,4,0-4 yr,138.7,1.3
Oklahoma,IHSP,2009-10,2010,5,0-4 yr,140,1.3
Oklahoma,IHSP,2009-10,2010,6,0-4 yr,140,0
Oklahoma,IHSP,2009-10,2010,7,0-4 yr,140,0
Oklahoma,IHSP,2009-10,2010,8,0-4 yr,140,0
Oklahoma,IHSP,2009-10,2010,9,0-4 yr,140,0
Oklahoma,IHSP,2009-10,2010,10,0-4 yr,140,0
Oklahoma,IHSP,2009-10,2010,11,0-4 yr,140,0
Oklahoma,IHSP,2009-10,2010,12,0-4 yr,140,0
Oklahoma,IHSP,2009-10,2010,13,0-4 yr,142.7,2.7
Oklahoma,IHSP,2009-10,2010,14,0-4 yr,142.7,0
Oklahoma,IHSP,2009-10,2010,15,0-4 yr,142.7,0
Oklahoma,IHSP,2009-10,2010,16,0-4 yr,142.7,0
Oklahoma,IHSP,2009-10,2010,17,0-4 yr,142.7,0
Oklahoma,IHSP,2009-10,2009,35,5-17 yr,0.6,0.6
Oklahoma,IHSP,2009-10,2009,36,5-17 yr,1.8,1.2
Oklahoma,IHSP,2009-10,2009,37,5-17 yr,4.7,2.9
Oklahoma,IHSP,2009-10,2009,38,5-17 yr,10,5.3
Oklahoma,IHSP,2009-10,2009,39,5-17 yr,20.6,10.6
Oklahoma,IHSP,2009-10,2009,40,5-17 yr,30.6,10
Oklahoma,IHSP,2009-10,2009,41,5-17 yr,40.7,10
Oklahoma,IHSP,2009-10,2009,42,5-17 yr,47.1,6.5
Oklahoma,IHSP,2009-10,2009,43,5-17 yr,48.9,1.8
Oklahoma,IHSP,2009-10,2009,44,5-17 yr,49.5,0.6
Oklahoma,IHSP,2009-10,2009,45,5-17 yr,51.3,1.8
Oklahoma,IHSP,2009-10,2009,46,5-17 yr,51.9,0.6
Oklahoma,IHSP,2009-10,2009,47,5-17 yr,52.4,0.6
Oklahoma,IHSP,2009-10,2009,48,5-17 yr,52.4,0
Oklahoma,IHSP,2009-10,2009,49,5-17 yr,53.6,1.2
Oklahoma,IHSP,2009-10,2009,50,5-17 yr,53.6,0
Oklahoma,IHSP,2009-10,2009,51,5-17 yr,53.6,0
Oklahoma,IHSP,2009-10,2009,52,5-17 yr,53.6,0
Oklahoma,IHSP,2009-10,2010,1,5-17 yr,53.6,0
Oklahoma,IHSP,2009-10,2010,2,5-17 yr,53.6,0
Oklahoma,IHSP,2009-10,2010,3,5-17 yr,53.6,0
Oklahoma,IHSP,2009-10,2010,4,5-17 yr,53.6,0
Oklahoma,IHSP,2009-10,2010,5,5-17 yr,53.6,0
Oklahoma,IHSP,2009-10,2010,6,5-17 yr,53.6,0
Oklahoma,IHSP,2009-10,2010,7,5-17 yr,53.6,0
Oklahoma,IHSP,2009-10,2010,8,5-17 yr,53.6,0
Oklahoma,IHSP,2009-10,2010,9,5-17 yr,54.2,0.6
Oklahoma,IHSP,2009-10,2010,10,5-17 yr,54.8,0.6
Oklahoma,IHSP,2009-10,2010,11,5-17 yr,55.4,0.6
Oklahoma,IHSP,2009-10,2010,12,5-17 yr,55.4,0
Oklahoma,IHSP,2009-10,2010,13,5-17 yr,55.4,0
Oklahoma,IHSP,2009-10,2010,14,5-17 yr,55.4,0
Oklahoma,IHSP,2009-10,2010,15,5-17 yr,55.4,0
Oklahoma,IHSP,2009-10,2010,16,5-17 yr,55.4,0
Oklahoma,IHSP,2009-10,2010,17,5-17 yr,55.4,0
Oklahoma,IHSP,2009-10,2009,35,18-49 yr,0,0
Oklahoma,IHSP,2009-10,2009,36,18-49 yr,0.7,0.7
Oklahoma,IHSP,2009-10,2009,37,18-49 yr,1.6,0.9
Oklahoma,IHSP,2009-10,2009,38,18-49 yr,3.6,2
Oklahoma,IHSP,2009-10,2009,39,18-49 yr,5.5,1.8
Oklahoma,IHSP,2009-10,2009,40,18-49 yr,8.4,3
Oklahoma,IHSP,2009-10,2009,41,18-49 yr,12.5,4.1
Oklahoma,IHSP,2009-10,2009,42,18-49 yr,14.5,2
