"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Jul-27-2019)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Rhode Island,IHSP,2010-11,2010,40,0-4 yr,0,0
Rhode Island,IHSP,2010-11,2010,41,0-4 yr,0,0
Rhode Island,IHSP,2010-11,2010,42,0-4 yr,0,0
Rhode Island,IHSP,2010-11,2010,43,0-4 yr,0,0
Rhode Island,IHSP,2010-11,2010,44,0-4 yr,0,0
Rhode Island,IHSP,2010-11,2010,45,0-4 yr,0,0
Rhode Island,IHSP,2010-11,2010,46,0-4 yr,0,0
Rhode Island,IHSP,2010-11,2010,47,0-4 yr,0,0
Rhode Island,IHSP,2010-11,2010,48,0-4 yr,0,0
Rhode Island,IHSP,2010-11,2010,49,0-4 yr,0,0
Rhode Island,IHSP,2010-11,2010,50,0-4 yr,0,0
Rhode Island,IHSP,2010-11,2010,51,0-4 yr,0,0
Rhode Island,IHSP,2010-11,2010,52,0-4 yr,2.5,2.5
Rhode Island,IHSP,2010-11,2011,1,0-4 yr,2.5,0
Rhode Island,IHSP,2010-11,2011,2,0-4 yr,2.5,0
Rhode Island,IHSP,2010-11,2011,3,0-4 yr,2.5,0
Rhode Island,IHSP,2010-11,2011,4,0-4 yr,2.5,0
Rhode Island,IHSP,2010-11,2011,5,0-4 yr,2.5,0
Rhode Island,IHSP,2010-11,2011,6,0-4 yr,7.6,5.1
Rhode Island,IHSP,2010-11,2011,7,0-4 yr,12.7,5.1
Rhode Island,IHSP,2010-11,2011,8,0-4 yr,15.2,2.5
Rhode Island,IHSP,2010-11,2011,9,0-4 yr,15.2,0
Rhode Island,IHSP,2010-11,2011,10,0-4 yr,20.3,5.1
Rhode Island,IHSP,2010-11,2011,11,0-4 yr,25.3,5.1
Rhode Island,IHSP,2010-11,2011,12,0-4 yr,25.3,0
Rhode Island,IHSP,2010-11,2011,13,0-4 yr,25.3,0
Rhode Island,IHSP,2010-11,2011,14,0-4 yr,25.3,0
Rhode Island,IHSP,2010-11,2011,15,0-4 yr,30.4,5.1
Rhode Island,IHSP,2010-11,2011,16,0-4 yr,30.4,0
Rhode Island,IHSP,2010-11,2011,17,0-4 yr,30.4,0
Rhode Island,IHSP,2010-11,2010,40,5-17 yr,0,0
Rhode Island,IHSP,2010-11,2010,41,5-17 yr,0,0
Rhode Island,IHSP,2010-11,2010,42,5-17 yr,0,0
Rhode Island,IHSP,2010-11,2010,43,5-17 yr,0,0
Rhode Island,IHSP,2010-11,2010,44,5-17 yr,0,0
Rhode Island,IHSP,2010-11,2010,45,5-17 yr,0,0
Rhode Island,IHSP,2010-11,2010,46,5-17 yr,0,0
Rhode Island,IHSP,2010-11,2010,47,5-17 yr,0,0
Rhode Island,IHSP,2010-11,2010,48,5-17 yr,0,0
Rhode Island,IHSP,2010-11,2010,49,5-17 yr,0,0
Rhode Island,IHSP,2010-11,2010,50,5-17 yr,0,0
Rhode Island,IHSP,2010-11,2010,51,5-17 yr,1,1
Rhode Island,IHSP,2010-11,2010,52,5-17 yr,1,0
Rhode Island,IHSP,2010-11,2011,1,5-17 yr,1,0
Rhode Island,IHSP,2010-11,2011,2,5-17 yr,1,0
Rhode Island,IHSP,2010-11,2011,3,5-17 yr,2,1
Rhode Island,IHSP,2010-11,2011,4,5-17 yr,3,1
Rhode Island,IHSP,2010-11,2011,5,5-17 yr,3.9,1
Rhode Island,IHSP,2010-11,2011,6,5-17 yr,3.9,0
Rhode Island,IHSP,2010-11,2011,7,5-17 yr,4.9,1
Rhode Island,IHSP,2010-11,2011,8,5-17 yr,5.9,1
Rhode Island,IHSP,2010-11,2011,9,5-17 yr,5.9,0
Rhode Island,IHSP,2010-11,2011,10,5-17 yr,6.9,1
Rhode Island,IHSP,2010-11,2011,11,5-17 yr,6.9,0
Rhode Island,IHSP,2010-11,2011,12,5-17 yr,7.9,1
Rhode Island,IHSP,2010-11,2011,13,5-17 yr,7.9,0
Rhode Island,IHSP,2010-11,2011,14,5-17 yr,7.9,0
Rhode Island,IHSP,2010-11,2011,15,5-17 yr,9.9,2
Rhode Island,IHSP,2010-11,2011,16,5-17 yr,9.9,0
Rhode Island,IHSP,2010-11,2011,17,5-17 yr,9.9,0
Rhode Island,IHSP,2010-11,2010,40,18-49 yr,0,0
