"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Jul-27-2019)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Utah,IHSP,2010-11,2010,40,0-4 yr,0,0
Utah,IHSP,2010-11,2010,41,0-4 yr,0,0
Utah,IHSP,2010-11,2010,42,0-4 yr,0,0
Utah,IHSP,2010-11,2010,43,0-4 yr,0,0
Utah,IHSP,2010-11,2010,44,0-4 yr,1,1
Utah,IHSP,2010-11,2010,45,0-4 yr,1,0
Utah,IHSP,2010-11,2010,46,0-4 yr,2,1
Utah,IHSP,2010-11,2010,47,0-4 yr,3.1,1
Utah,IHSP,2010-11,2010,48,0-4 yr,5.1,2
Utah,IHSP,2010-11,2010,49,0-4 yr,6.1,1
Utah,IHSP,2010-11,2010,50,0-4 yr,11.2,5.1
Utah,IHSP,2010-11,2010,51,0-4 yr,16.3,5.1
Utah,IHSP,2010-11,2010,52,0-4 yr,23.4,7.1
Utah,IHSP,2010-11,2011,1,0-4 yr,27.5,4.1
Utah,IHSP,2010-11,2011,2,0-4 yr,30.5,3.1
Utah,IHSP,2010-11,2011,3,0-4 yr,35.6,5.1
Utah,IHSP,2010-11,2011,4,0-4 yr,35.6,0
Utah,IHSP,2010-11,2011,5,0-4 yr,37.6,2
Utah,IHSP,2010-11,2011,6,0-4 yr,45.8,8.1
Utah,IHSP,2010-11,2011,7,0-4 yr,49.8,4.1
Utah,IHSP,2010-11,2011,8,0-4 yr,52.9,3.1
Utah,IHSP,2010-11,2011,9,0-4 yr,62,9.2
Utah,IHSP,2010-11,2011,10,0-4 yr,69.1,7.1
Utah,IHSP,2010-11,2011,11,0-4 yr,71.2,2
Utah,IHSP,2010-11,2011,12,0-4 yr,76.3,5.1
Utah,IHSP,2010-11,2011,13,0-4 yr,79.3,3.1
Utah,IHSP,2010-11,2011,14,0-4 yr,80.3,1
Utah,IHSP,2010-11,2011,15,0-4 yr,81.3,1
Utah,IHSP,2010-11,2011,16,0-4 yr,82.4,1
Utah,IHSP,2010-11,2011,17,0-4 yr,82.4,0
Utah,IHSP,2010-11,2010,40,5-17 yr,0,0
Utah,IHSP,2010-11,2010,41,5-17 yr,0,0
Utah,IHSP,2010-11,2010,42,5-17 yr,0,0
Utah,IHSP,2010-11,2010,43,5-17 yr,0,0
Utah,IHSP,2010-11,2010,44,5-17 yr,0.5,0.5
Utah,IHSP,2010-11,2010,45,5-17 yr,0.5,0
Utah,IHSP,2010-11,2010,46,5-17 yr,0.9,0.5
Utah,IHSP,2010-11,2010,47,5-17 yr,0.9,0
Utah,IHSP,2010-11,2010,48,5-17 yr,0.9,0
Utah,IHSP,2010-11,2010,49,5-17 yr,1.4,0.5
Utah,IHSP,2010-11,2010,50,5-17 yr,2.3,0.9
Utah,IHSP,2010-11,2010,51,5-17 yr,4.2,1.9
Utah,IHSP,2010-11,2010,52,5-17 yr,4.7,0.5
Utah,IHSP,2010-11,2011,1,5-17 yr,4.7,0
Utah,IHSP,2010-11,2011,2,5-17 yr,4.7,0
Utah,IHSP,2010-11,2011,3,5-17 yr,6.1,1.4
Utah,IHSP,2010-11,2011,4,5-17 yr,7,0.9
Utah,IHSP,2010-11,2011,5,5-17 yr,8.4,1.4
Utah,IHSP,2010-11,2011,6,5-17 yr,9.3,0.9
Utah,IHSP,2010-11,2011,7,5-17 yr,11.2,1.9
Utah,IHSP,2010-11,2011,8,5-17 yr,11.7,0.5
Utah,IHSP,2010-11,2011,9,5-17 yr,13.5,1.9
