"Week","a.influenza","acute.bronchitis","body.temperature","braun.thermoscan","break.a.fever","bronchitis","chest.cold","cold.and.flu","cold.or.flu","cold.versus.flu","cold.vs.flu","contagious.flu","cough.fever","cure.flu","cure.the.flu","dangerous.fever","do.i.have.the.flu","ear.thermometer","early.flu.symptoms","expectorant","exposed.to.flu","fever.cough","fever.flu","fever.reducer","fight.the.flu","flu.and.cold","flu.and.fever","flu.care","flu.children","flu.complications","flu.contagious.period","flu.contagious","flu.cough","flu.duration","flu.fever","flu.germs","flu.headache","flu.how.long","flu.in.children","flu.incubation.period","flu.incubation","flu.lasts","flu.length","flu.medicine","flu.or.cold","flu.recovery","flu.relief","flu.remedies","flu.remedy","flu.report","flu.reports","flu.symptoms","flu.test","flu.treatment","flu.treatments","flu.versus.cold","flu.vs.cold","get.over.the.flu","get.rid.of.the.flu","having.the.flu","high.fever","how.long.contagious","how.long.does.flu.last","how.long.does.the.flu.last","how.long.flu","how.long.is.flu.contagious","how.long.is.the.flu.contagious","how.long.is.the.flu","how.to.get.rid.of.the.flu","how.to.treat.flu","how.to.treat.the.flu","human.temperature","i.have.the.flu","incubation.period.for.flu","incubation.period.for.the.flu","influenza.a.and.b","influenza.a","influenza.contagious","influenza.incubation.period","influenza.incubation","influenza.symptoms","influenza.treatment","influenza.type.a","is.flu.contagious","low.body","medicine.for.flu","medicine.for.the.flu","normal.body.temperature","normal.body","oscillococcinum","over.the.counter.flu.medicine","over.the.counter.flu","painful.cough","pneumonia","rapid.flu","reduce.a.fever","reduce.fever","remedies.for.flu","remedies.for.the.flu","respiratory.flu","robitussin","signs.of.flu","signs.of.the.flu","sinus.infections","sinus","strep.throat","strep","symptoms.of.bronchitis","symptoms.of.flu","symptoms.of.influenza","symptoms.of.pneumonia","symptoms.of.the.flu","taking.temperature","tessalon","the.flu.virus","the.flu","thermoscan","treat.flu","treat.the.flu","treating.flu","treating.the.flu","treatment.for.flu","treatment.for.the.flu","tussin","tussionex","type.a.influenza","upper.respiratory","walking.pneumonia","what.to.do.if.you.have.the.flu"
"2004-01-10",11,50,58,100,15,34,27,26,39,100,11,9,7,5,9,38,25,65,0,52,0,7,11,26,28,26,13,12,8,0,24,9,29,29,11,0,23,3,5,4,3,0,42,21,39,27,44,31,39,4,0,4,6,13,46,100,11,0,0,21,25,6,5,0,3,8,8,7,26,0,26,82,10,5,0,32,11,46,26,40,33,95,20,9,69,14,0,34,48,31,0,49,61,53,21,0,30,15,73,18,47,4,12,36,62,45,50,16,2,38,26,4,30,25,7,4,54,8,19,32,78,7,42,64,79,20,37,57,0
"2004-01-17",7,41,70,54,12,31,17,20,11,41,15,2,11,3,8,23,10,29,12,68,0,11,12,16,23,20,11,6,8,24,15,2,10,31,12,0,23,3,5,3,3,0,17,7,11,22,72,18,32,5,0,2,2,5,22,41,15,0,0,17,22,4,5,0,3,4,0,5,21,0,22,60,11,4,0,26,7,12,21,32,17,37,16,3,100,11,26,40,38,29,31,13,100,46,17,0,12,12,28,11,37,2,6,37,53,47,54,24,2,13,16,4,62,23,3,3,66,6,32,26,41,9,0,20,58,16,21,42,0
"2004-01-24",6,40,53,40,15,29,20,16,8,0,9,1,11,2,8,34,10,44,12,29,0,11,11,16,23,16,18,7,4,18,14,1,5,17,11,0,28,2,2,2,1,51,17,7,8,22,36,16,16,3,5,2,2,6,29,0,9,23,16,17,17,3,5,4,2,4,0,8,21,17,42,77,12,4,21,0,6,12,21,24,18,22,16,3,67,11,25,38,47,16,31,13,49,42,17,0,12,24,28,11,36,3,6,36,52,36,46,31,1,26,17,2,37,23,3,2,65,11,16,29,41,6,0,44,52,16,17,38,0
"2004-01-31",4,32,57,26,18,25,21,12,13,0,6,3,4,4,8,44,0,45,12,46,0,4,10,61,22,12,10,11,5,11,14,3,12,11,10,49,22,1,4,1,2,76,17,3,13,21,35,10,25,3,5,2,2,4,14,0,6,23,16,17,29,3,3,4,1,0,0,5,21,16,41,78,6,4,20,0,4,12,20,21,11,32,16,3,58,11,25,25,43,27,0,13,73,41,17,33,19,12,28,11,34,2,6,40,47,40,48,34,1,21,21,2,45,20,7,2,49,6,15,33,41,5,0,52,42,16,24,45,0
"2004-02-07",3,31,46,80,21,25,9,10,15,0,6,2,7,4,8,34,0,52,12,25,19,7,6,15,22,10,10,4,1,12,14,2,8,11,6,25,9,1,6,1,1,100,17,7,15,22,35,9,15,3,5,1,1,4,14,0,6,30,16,17,29,2,3,4,1,0,0,5,21,11,21,91,6,4,20,0,3,14,21,21,8,43,18,3,47,11,25,26,32,18,0,17,98,41,17,33,16,12,29,11,25,2,6,27,52,43,51,23,1,17,17,2,100,27,5,2,57,8,15,33,42,5,0,34,51,18,25,26,0
"2004-02-14",8,22,55,27,24,32,15,8,13,0,12,4,6,4,8,32,0,29,11,25,19,6,7,15,22,8,21,4,4,12,14,4,10,11,7,25,9,2,7,1,1,50,16,3,13,32,70,7,36,6,5,1,1,3,15,0,12,38,16,17,17,3,3,0,2,0,0,0,0,10,0,62,7,4,20,0,8,15,20,16,13,22,21,3,71,11,25,27,43,9,0,21,96,42,16,50,23,12,28,11,44,2,6,29,52,49,53,23,1,26,18,1,24,25,2,2,85,19,15,34,41,5,0,38,43,21,23,33,46
"2004-02-21",4,39,59,52,12,26,11,10,13,0,6,3,8,4,15,32,0,34,11,37,0,8,7,15,22,10,15,4,4,11,14,3,8,11,7,24,9,1,2,1,1,60,16,7,13,20,35,23,31,6,5,1,1,4,28,0,6,45,15,20,19,3,3,0,1,0,0,0,0,10,0,78,8,4,20,0,4,17,20,15,9,32,24,3,54,11,24,37,37,9,0,25,96,40,16,66,17,12,28,11,38,2,8,31,56,45,55,17,1,25,14,1,35,22,6,1,73,10,15,16,41,5,0,28,39,24,39,41,0
"2004-02-28",4,54,47,75,11,30,24,7,11,0,6,2,18,2,7,32,0,49,11,30,0,18,6,15,0,7,10,5,3,22,14,2,5,15,6,24,9,2,3,1,1,71,38,13,11,20,67,13,15,7,5,1,1,4,14,0,6,0,15,23,24,3,3,0,2,0,0,0,0,10,0,55,9,0,0,0,4,18,19,0,9,27,30,4,55,10,24,27,30,9,0,18,77,37,16,70,28,17,28,10,34,4,10,34,55,48,54,29,1,12,9,3,17,33,5,2,54,10,15,31,39,5,0,36,19,30,32,30,0
"2004-03-06",5,49,54,86,19,32,20,8,15,0,10,4,13,3,7,36,0,42,19,51,0,13,6,25,0,8,34,6,2,18,14,4,6,19,6,42,20,1,0,1,1,81,59,5,15,36,66,17,25,8,8,1,1,5,14,0,10,0,15,26,19,2,5,0,1,0,0,0,0,18,0,70,9,0,0,42,5,20,19,0,15,35,26,5,71,14,42,41,34,20,49,20,77,39,16,75,19,23,49,18,34,3,10,27,47,56,54,29,1,21,18,1,73,18,8,2,51,10,0,36,69,9,52,81,51,26,43,35,0
"2004-03-13",6,63,47,63,29,36,26,14,18,0,6,5,15,3,7,54,24,41,11,53,0,15,4,27,0,14,10,4,3,20,14,5,7,27,4,60,9,2,0,1,1,46,80,8,18,51,66,25,37,6,5,0,1,2,14,0,6,0,15,16,19,3,3,0,2,0,0,0,0,26,0,69,14,0,0,61,6,0,19,0,13,52,15,7,81,18,60,25,31,44,0,31,0,38,16,80,28,29,70,10,28,5,15,40,48,55,53,27,1,31,13,4,43,36,6,1,51,30,0,40,99,9,56,92,20,15,35,29,0
"2004-03-20",4,57,49,25,23,30,14,7,15,0,6,2,15,3,7,44,10,22,11,14,0,15,5,29,0,7,10,4,3,21,14,2,8,22,5,36,9,2,0,1,1,46,16,3,15,40,66,8,30,6,5,1,1,2,14,0,6,0,15,16,22,5,3,0,2,0,0,0,0,10,0,35,5,0,0,25,4,0,19,0,8,31,15,5,66,21,0,20,28,9,0,13,0,38,16,64,11,12,28,10,32,4,0,33,52,46,53,17,0,25,19,1,23,19,5,1,34,9,0,32,40,10,59,37,38,15,24,37,0
"2004-03-27",3,50,68,50,23,29,26,7,15,0,23,6,12,5,14,44,0,65,11,30,0,12,7,29,0,7,39,7,3,22,0,6,9,32,7,48,17,3,0,1,1,46,16,3,14,40,66,15,59,6,5,1,3,5,55,0,23,0,0,15,22,3,6,0,3,0,0,0,0,10,0,62,11,0,0,25,3,0,19,0,11,82,15,5,61,21,0,36,46,18,0,13,0,36,0,0,45,11,28,21,47,4,0,24,53,49,59,29,1,49,16,1,34,35,3,1,80,6,0,32,38,10,63,68,49,15,39,28,0
"2004-04-03",4,40,41,24,0,30,22,5,14,0,6,2,8,3,14,44,0,26,11,29,0,8,4,15,0,5,15,3,1,0,0,2,5,11,4,0,9,1,0,1,1,46,16,3,14,21,67,5,20,3,5,1,1,3,13,0,6,0,0,15,21,3,3,0,1,0,0,0,19,10,0,40,8,0,0,25,4,0,19,15,9,100,15,3,69,0,0,22,36,17,0,13,0,36,0,0,16,11,28,11,32,3,0,33,51,45,50,24,1,36,14,2,34,27,3,1,52,6,0,15,38,5,32,40,45,15,35,29,0
"2004-04-10",3,34,48,26,0,25,16,7,15,0,6,1,11,2,7,44,0,42,12,23,0,11,7,15,0,7,15,5,2,0,0,1,5,11,7,0,9,2,2,2,1,49,16,4,15,21,68,20,20,3,5,1,2,7,14,0,6,0,0,15,23,3,3,0,2,0,0,5,0,11,0,43,8,0,0,25,3,0,0,14,9,32,20,3,45,0,0,32,48,18,0,13,0,34,0,0,11,23,28,11,26,2,0,36,51,42,50,22,1,17,14,1,41,22,5,1,48,6,15,16,0,11,32,51,28,20,14,26,0
"2004-04-17",6,20,48,41,0,20,17,12,18,0,5,2,6,3,7,20,0,80,11,15,0,6,6,71,0,12,24,6,2,0,0,2,7,52,6,0,13,1,2,2,1,46,0,5,18,0,64,8,24,4,0,1,1,4,22,0,5,0,0,15,20,2,0,0,1,0,0,5,0,10,0,56,8,0,0,0,6,19,0,14,11,66,25,4,48,0,0,16,47,21,0,26,0,34,0,0,27,19,0,10,22,3,0,31,46,39,47,24,0,49,19,1,28,23,8,1,33,10,21,26,0,17,50,22,33,25,29,21,0
"2004-04-24",4,24,40,24,0,24,10,4,14,0,5,1,10,3,7,20,0,47,11,23,0,10,4,14,0,4,14,3,1,0,0,1,4,10,4,0,16,1,2,1,2,46,0,3,14,0,64,5,14,6,0,1,1,3,13,0,5,0,0,15,21,3,0,0,1,0,0,5,0,10,19,33,8,0,0,0,4,0,0,14,6,19,14,2,65,0,0,19,36,8,0,0,44,33,0,0,16,11,0,10,27,2,0,23,44,44,49,7,0,12,12,1,33,20,5,1,19,6,28,15,0,5,30,31,36,14,26,26,0
"2004-05-01",2,36,43,48,0,23,17,3,7,36,5,1,7,4,7,20,0,21,0,43,0,8,6,21,0,3,14,3,2,0,0,1,7,10,6,0,16,2,4,1,2,46,0,6,7,0,64,5,14,0,0,1,1,2,13,36,5,21,0,15,27,3,0,0,2,0,0,5,0,10,0,46,10,0,0,0,2,0,0,14,3,39,14,2,54,0,0,23,33,8,0,0,44,35,0,0,11,16,0,10,18,2,0,26,45,43,52,9,1,15,6,2,49,16,3,1,51,6,0,15,0,5,30,39,18,14,32,30,0
"2004-05-08",2,24,39,24,11,19,12,5,11,36,5,1,9,2,7,62,9,47,0,40,0,9,5,28,0,5,14,3,1,0,0,1,4,10,5,0,8,1,2,1,1,46,0,6,10,0,36,5,14,0,0,1,1,3,13,36,5,21,0,15,32,4,0,0,1,0,0,5,0,10,0,46,5,0,0,0,2,0,0,14,8,20,0,0,66,10,0,20,36,13,0,0,44,33,0,61,18,11,0,10,29,2,0,22,47,46,56,7,0,18,12,1,27,43,2,1,26,6,0,15,0,5,30,31,26,0,21,25,0
"2004-05-15",3,18,35,24,11,21,13,5,7,36,6,1,5,2,7,21,0,32,0,41,0,5,4,14,20,5,10,3,1,11,0,1,4,10,4,0,8,1,2,1,1,46,0,6,7,0,36,5,14,0,0,0,1,2,13,37,6,22,0,16,21,4,0,0,1,0,0,5,0,10,0,60,5,0,0,0,3,0,0,14,10,30,0,0,70,0,0,20,29,17,0,0,44,28,0,31,16,11,0,10,23,2,6,28,43,39,44,7,0,18,9,2,25,31,3,1,39,6,0,15,0,5,30,40,26,0,13,20,0
"2004-05-22",1,16,40,24,11,18,10,6,7,37,6,1,13,3,7,21,0,16,0,29,0,13,5,14,0,6,15,3,2,11,0,1,4,10,5,0,8,1,2,1,1,47,0,6,7,0,36,5,14,0,5,1,1,4,13,37,6,22,0,16,33,2,3,0,1,0,0,5,0,10,0,57,5,0,19,0,1,0,19,15,5,20,0,0,53,0,0,31,34,9,0,0,44,32,0,31,11,11,0,10,15,2,0,20,44,41,46,21,1,12,9,1,22,27,3,1,20,6,0,15,0,5,30,35,39,0,23,21,0
"2004-05-29",1,19,40,53,11,16,12,3,7,37,6,1,12,2,7,22,0,22,0,18,0,12,5,15,0,3,20,3,3,11,0,1,5,11,5,0,9,2,2,1,1,48,0,3,7,0,36,5,15,0,5,0,1,2,14,37,6,23,0,17,33,1,3,0,2,0,0,5,0,10,0,34,5,0,0,0,1,12,0,0,6,20,0,0,55,0,0,21,43,9,0,0,46,28,0,32,11,11,0,10,16,2,0,23,42,42,49,7,1,12,9,1,34,19,2,1,40,6,0,16,0,5,31,48,22,0,32,25,0
"2004-06-05",2,27,40,82,12,22,18,6,8,37,6,1,8,2,8,23,0,70,12,16,19,8,4,16,0,6,10,3,1,12,15,1,5,12,4,0,9,1,2,1,1,48,0,7,8,0,36,5,16,0,5,0,2,1,15,37,6,23,0,17,22,3,0,0,1,0,0,5,0,11,21,30,5,0,0,0,2,0,0,0,4,22,0,0,42,0,0,21,35,9,31,13,46,27,17,32,11,11,30,11,18,2,0,15,44,41,43,16,0,13,11,3,46,23,2,1,64,6,16,16,0,5,31,22,38,0,34,28,0
"2004-06-12",2,29,40,26,18,21,9,3,11,38,6,1,8,5,7,22,0,16,12,12,0,8,4,20,0,3,15,4,1,0,0,1,5,15,4,0,26,2,2,0,1,49,0,3,11,0,46,5,20,0,0,0,1,1,21,38,6,24,0,16,32,3,0,0,2,0,0,5,0,11,0,28,5,0,0,0,2,0,0,0,3,28,0,0,45,0,0,21,38,9,0,12,47,34,0,32,11,12,0,10,15,2,0,28,40,34,43,7,0,0,13,1,34,21,2,1,20,6,15,16,0,5,31,34,27,0,22,39,0
"2004-06-19",3,32,38,26,23,17,5,6,15,38,6,1,10,3,7,22,0,33,12,46,0,10,6,45,0,6,10,4,2,0,0,1,5,11,6,0,9,2,2,0,1,49,0,3,15,0,57,5,15,0,0,1,1,1,28,38,6,24,0,16,19,4,0,0,2,4,6,5,0,11,0,31,5,0,0,0,3,0,0,0,3,35,0,0,46,0,0,23,25,9,0,12,47,25,0,32,11,12,0,16,16,2,0,23,43,36,43,7,0,0,6,1,23,10,2,1,27,6,0,16,0,5,31,28,27,0,44,21,0
"2004-06-26",2,13,45,26,13,15,7,6,15,38,6,3,8,3,7,22,0,28,12,21,0,8,5,15,0,6,10,4,1,0,0,3,5,11,5,0,9,1,2,0,1,49,0,7,15,0,68,8,15,0,0,0,1,3,14,38,6,24,15,0,24,3,0,0,1,0,0,0,20,11,0,32,6,0,0,0,2,0,0,0,3,41,0,0,49,0,0,35,33,9,0,12,47,25,0,32,17,12,0,12,20,4,6,18,45,30,42,22,1,0,6,1,29,22,2,0,27,6,0,16,0,5,32,32,25,0,20,19,0
"2004-07-03",2,33,45,52,13,16,12,4,8,0,6,1,12,4,7,22,0,34,12,9,0,12,4,15,0,4,10,4,1,0,0,1,5,11,4,0,13,1,2,0,1,50,0,3,8,21,33,10,15,0,0,1,1,2,14,0,6,24,16,0,22,1,0,0,1,0,0,0,20,11,0,47,6,0,0,0,2,0,0,0,4,21,0,3,64,11,0,19,36,9,0,13,48,25,0,33,12,12,0,12,18,2,6,19,42,25,34,15,0,0,5,1,36,18,3,0,31,6,0,17,41,5,31,28,31,0,21,14,0
"2004-07-10",2,36,34,27,13,16,11,3,7,0,6,2,4,3,0,23,10,26,12,20,0,4,5,16,0,3,11,4,1,0,0,2,10,12,5,0,19,1,0,0,1,47,0,5,7,22,33,14,16,0,0,0,2,2,0,0,6,24,16,0,26,1,3,4,1,0,0,0,21,11,0,33,6,0,0,0,2,13,0,0,4,20,0,3,42,10,0,26,33,9,0,13,46,26,0,34,18,12,0,12,11,2,6,20,41,30,37,12,0,0,9,1,43,20,3,1,44,6,0,17,39,6,31,30,38,0,11,26,0
"2004-07-17",2,15,37,45,11,16,6,7,7,0,7,2,9,2,0,34,9,32,14,11,0,9,5,14,0,7,12,4,2,0,0,2,5,13,5,0,10,1,0,0,1,47,0,8,7,24,33,6,20,4,0,0,2,2,0,0,7,0,0,0,30,2,3,4,1,0,0,0,19,10,0,29,5,0,0,0,2,14,0,0,5,20,0,0,41,10,0,17,42,9,0,14,46,27,19,0,18,11,0,12,23,2,6,19,36,24,37,17,1,15,9,1,41,25,3,0,40,6,0,16,39,5,31,22,19,0,16,21,0
"2004-07-24",1,33,40,47,11,15,10,3,7,0,6,2,6,2,0,31,9,21,11,21,17,6,4,14,0,3,10,3,2,0,0,2,5,11,4,0,9,1,0,0,1,47,16,3,7,20,33,6,25,3,5,0,1,5,0,0,6,0,0,0,19,2,3,4,1,0,0,0,19,10,19,34,5,0,0,0,1,12,0,15,7,20,0,0,70,10,0,11,25,9,0,12,46,26,0,0,11,11,27,10,23,2,6,25,39,28,41,18,0,12,3,1,34,9,2,0,40,6,14,16,39,5,31,27,19,0,23,18,0
"2004-07-31",2,41,43,50,11,15,15,4,7,0,6,3,8,2,0,21,9,27,11,18,0,8,5,15,0,4,10,3,1,0,0,3,5,11,5,0,9,1,0,0,1,46,15,3,7,20,32,5,29,3,0,0,2,1,0,0,6,0,0,0,29,3,3,4,1,0,0,0,0,0,0,31,5,0,0,0,2,12,0,0,4,20,0,0,65,10,24,44,44,9,29,12,46,22,0,0,11,11,0,10,18,2,6,18,42,29,38,7,0,12,6,1,34,11,2,0,33,6,0,16,39,5,31,34,24,0,16,28,0
"2004-08-07",2,29,38,25,11,14,14,3,7,0,6,3,5,2,0,21,9,16,11,21,0,5,4,29,0,3,10,3,2,11,13,3,5,11,4,0,17,1,0,0,1,46,15,3,7,20,32,5,29,3,0,0,2,1,0,0,6,0,0,0,21,2,3,4,1,0,0,0,0,0,0,31,5,0,0,24,2,0,0,0,3,20,0,0,62,10,23,11,21,11,27,11,46,22,0,0,17,11,0,10,17,2,6,33,41,25,35,12,0,12,6,1,42,12,2,1,33,6,0,16,39,5,0,23,38,0,23,18,0
"2004-08-14",4,42,36,25,11,14,12,3,7,0,6,1,4,2,0,21,9,26,17,15,0,4,3,19,0,3,10,3,3,11,0,1,5,10,3,0,8,1,2,0,1,46,15,6,7,20,32,5,14,3,0,1,0,2,0,0,6,0,0,0,26,3,3,0,1,0,0,0,0,0,0,20,5,0,0,24,4,0,0,0,3,20,0,0,53,10,23,24,19,13,27,11,44,22,0,0,11,11,0,10,13,4,6,33,42,30,39,7,0,12,5,1,22,7,2,0,20,5,0,15,36,5,0,49,12,0,23,16,42
"2004-08-21",4,16,43,23,11,16,13,3,7,0,5,1,6,2,0,21,0,26,16,14,0,6,7,14,0,3,9,3,3,10,0,1,4,10,7,0,10,1,2,1,1,46,0,3,7,20,0,5,14,3,0,0,0,2,0,0,5,0,0,15,27,5,3,0,1,0,0,0,0,0,0,25,5,0,0,23,4,0,0,0,3,30,0,2,48,0,23,30,33,8,27,11,44,24,0,61,18,11,0,10,20,2,6,17,44,26,32,16,0,12,12,1,55,11,2,0,32,5,0,15,36,5,0,35,26,0,28,28,0
