WEEK,YEAR,_WEIGHTED_ILI,AGE_0_4,AGE_25_64,AGE_5_24,AGE_65,ILITOTAL
40,1997,1.10148,179,157,205,29,570
41,1997,1.20007,199,151,242,23,615
42,1997,1.37876,228,153,266,34,681
43,1997,1.1992,188,193,236,36,653
44,1997,1.65618,217,162,280,41,700
45,1997,1.41326,178,148,281,48,655
46,1997,1.9868,294,240,328,70,932
47,1997,2.44749,288,293,456,63,1100
48,1997,1.73901,268,206,343,69,886
49,1997,1.93919,299,282,415,102,1098
50,1997,2.28166,346,268,388,81,1083
51,1997,2.50761,348,235,362,59,1004
52,1997,4.11352,510,404,492,113,1519
53,1997,5.62372,579,584,576,207,1946
1,1998,4.37398,639,759,810,207,2415
2,1998,4.19434,690,654,1121,148,2613
3,1998,5.42123,856,679,1440,151,3126
4,1998,5.66137,824,817,1600,196,3437
5,1998,5.97802,881,769,1471,233,3354
6,1998,4.7358,699,671,1101,146,2617
7,1998,3.44581,457,523,849,119,1948
8,1998,2.47799,313,330,534,112,1289
9,1998,1.65732,241,214,308,64,827
10,1998,1.96952,201,183,305,59,748
11,1998,1.58545,162,123,249,51,585
12,1998,1.80474,156,93,196,41,486
13,1998,1.04624,90,92,144,32,358
14,1998,1.4004,82,93,152,41,368
15,1998,0.79687,64,73,106,19,262
16,1998,0.717097,82,68,100,15,265
17,1998,1.00238,58,61,120,27,266
18,1998,0.908403,39,64,93,13,209
19,1998,0.443014,79,37,61,9,186
20,1998,0.638986,54,40,52,19,165
21,1998,X,X,X,X,X,X
22,1998,X,X,X,X,X,X
23,1998,X,X,X,X,X,X
24,1998,X,X,X,X,X,X
25,1998,X,X,X,X,X,X
26,1998,X,X,X,X,X,X
27,1998,X,X,X,X,X,X
28,1998,X,X,X,X,X,X
29,1998,X,X,X,X,X,X
30,1998,X,X,X,X,X,X
31,1998,X,X,X,X,X,X
32,1998,X,X,X,X,X,X
33,1998,X,X,X,X,X,X
34,1998,X,X,X,X,X,X
35,1998,X,X,X,X,X,X
36,1998,X,X,X,X,X,X
37,1998,X,X,X,X,X,X
38,1998,X,X,X,X,X,X
39,1998,X,X,X,X,X,X
40,1998,1.57733,115,139,210,26,490
41,1998,1.3088,133,174,262,36,605
42,1998,1.41744,217,225,287,54,783
43,1998,1.18272,278,226,530,52,1086
44,1998,2.33432,298,262,414,60,1034
45,1998,1.81577,258,292,402,70,1022
46,1998,2.17975,355,281,478,64,1178
47,1998,2.1124,291,322,512,83,1208
48,1998,2.04854,319,310,453,94,1176
49,1998,1.93248,353,303,461,85,1202
50,1998,1.90468,312,320,426,83,1141
51,1998,2.55983,335,296,359,74,1064
52,1998,3.99108,418,466,377,162,1423
1,1999,3.08581,439,659,548,134,1780
2,1999,4.16383,431,962,874,140,2407
3,1999,5.58049,801,1168,1689,206,3864
4,1999,5.25328,755,1419,2185,186,4545
5,1999,6.74667,970,1562,2919,219,5670
6,1999,7.57188,1029,1591,2911,237,5768
7,1999,6.87287,822,1599,2275,224,4920
8,1999,6.35098,800,1520,1932,234,4486
9,1999,5.41099,769,1357,1543,241,3910
10,1999,4.55008,539,1041,1140,202,2922
11,1999,3.85915,458,704,778,130,2070
12,1999,2.99601,378,548,641,129,1696
13,1999,1.97814,243,382,397,69,1091
14,1999,1.16887,127,202,265,38,632
15,1999,1.09302,102,102,175,17,396
16,1999,0.633169,59,66,133,13,271
17,1999,0.639561,111,118,150,20,399
18,1999,1.55531,35,50,84,11,180
19,1999,0.80802,102,88,86,16,292
20,1999,1.33997,100,68,100,15,283
21,1999,X,X,X,X,X,X
22,1999,X,X,X,X,X,X
23,1999,X,X,X,X,X,X
24,1999,X,X,X,X,X,X
25,1999,X,X,X,X,X,X
26,1999,X,X,X,X,X,X
27,1999,X,X,X,X,X,X
28,1999,X,X,X,X,X,X
29,1999,X,X,X,X,X,X
30,1999,X,X,X,X,X,X
31,1999,X,X,X,X,X,X
32,1999,X,X,X,X,X,X
33,1999,X,X,X,X,X,X
34,1999,X,X,X,X,X,X
35,1999,X,X,X,X,X,X
36,1999,X,X,X,X,X,X
37,1999,X,X,X,X,X,X
38,1999,X,X,X,X,X,X
39,1999,X,X,X,X,X,X
40,1999,0.831219,264,228,273,26,791
41,1999,1.40445,292,297,351,57,997
42,1999,1.31721,346,293,371,57,1067
43,1999,1.38161,371,289,367,62,1089
44,1999,1.41607,438,434,607,91,1570
45,1999,1.48438,473,461,535,101,1570
46,1999,1.52614,443,544,622,92,1701
47,1999,1.85336,483,714,504,132,1833
48,1999,2.32907,518,994,835,137,2484
49,1999,2.70254,643,1316,1124,181,3264
50,1999,3.50454,828,1676,1405,299,4208
51,1999,5.40799,1130,2189,1399,450,5168
52,1999,7.04228,1339,3146,1697,664,6846
1,2000,6.76846,1314,3250,2043,665,7272
2,2000,5.52808,1011,2251,1746,462,5470
3,2000,3.80508,851,1357,1334,315,3857
4,2000,3.41177,722,962,1048,169,2901
5,2000,2.4,633,786,914,145,2478
6,2000,1.8912,599,646,862,116,2223
7,2000,1.35503,539,447,610,72,1668
8,2000,1.33212,452,328,481,64,1325
9,2000,1.49127,499,360,477,49,1385
10,2000,1.26826,381,256,394,57,1088
11,2000,1.05854,342,206,342,44,934
12,2000,0.92201,305,229,346,37,917
13,2000,0.892334,282,206,320,29,837
14,2000,0.929201,186,171,286,23,666
15,2000,0.655592,178,127,196,21,522
16,2000,0.607002,107,96,120,24,347
17,2000,0.600003,112,80,141,14,347
18,2000,0.547247,93,77,147,7,324
19,2000,0.476417,67,77,85,10,239
20,2000,0.445917,79,64,65,11,219
21,2000,X,X,X,X,X,X
22,2000,X,X,X,X,X,X
23,2000,X,X,X,X,X,X
24,2000,X,X,X,X,X,X
25,2000,X,X,X,X,X,X
26,2000,X,X,X,X,X,X
27,2000,X,X,X,X,X,X
28,2000,X,X,X,X,X,X
29,2000,X,X,X,X,X,X
30,2000,X,X,X,X,X,X
31,2000,X,X,X,X,X,X
32,2000,X,X,X,X,X,X
33,2000,X,X,X,X,X,X
34,2000,X,X,X,X,X,X
35,2000,X,X,X,X,X,X
36,2000,X,X,X,X,X,X
37,2000,X,X,X,X,X,X
38,2000,X,X,X,X,X,X
39,2000,X,X,X,X,X,X
40,2000,1.04113,206,322,443,70,1041
41,2000,1.2871,270,389,489,86,1234
42,2000,1.28299,390,458,617,96,1561
43,2000,1.34081,411,564,683,123,1781
44,2000,1.0555,465,564,703,138,1870
45,2000,1.14136,564,635,849,181,2229
46,2000,1.44111,572,736,979,162,2449
47,2000,1.95735,704,646,913,154,2417
48,2000,1.61928,673,900,1085,196,2854
49,2000,1.7844,710,916,1232,239,3097
50,2000,2.34423,677,1077,1455,185,3394
51,2000,2.69528,767,1052,1337,205,3361
52,2000,3.8618,1059,1496,1335,262,4152
1,2001,3.505,1049,1855,1571,321,4796
2,2001,3.43804,1081,1722,2423,318,5544
3,2001,4.3928,1395,1806,3223,293,6717
4,2001,4.21339,1542,1991,4057,318,7908
5,2001,4.35364,1329,1958,3705,295,7287
6,2001,3.69969,1370,1731,3017,358,6476
7,2001,2.81921,1059,1393,2126,254,4832
8,2001,2.55294,834,1278,1566,245,3923
9,2001,1.90167,683,752,1008,163,2606
10,2001,1.68033,622,854,934,152,2562
11,2001,1.6254,524,522,762,135,1943
12,2001,1.45957,485,507,751,136,1879
13,2001,1.32376,465,419,575,131,1590
14,2001,0.920073,288,421,421,126,1256
15,2001,0.779257,219,305,344,82,950
16,2001,0.991303,234,344,331,88,997
17,2001,0.82693,198,253,274,46,771
18,2001,0.588952,173,225,265,71,734
19,2001,0.605586,165,196,250,60,671
20,2001,0.49434,94,159,179,38,470
21,2001,X,X,X,X,X,X
22,2001,X,X,X,X,X,X
23,2001,X,X,X,X,X,X
24,2001,X,X,X,X,X,X
25,2001,X,X,X,X,X,X
26,2001,X,X,X,X,X,X
27,2001,X,X,X,X,X,X
28,2001,X,X,X,X,X,X
29,2001,X,X,X,X,X,X
30,2001,X,X,X,X,X,X
31,2001,X,X,X,X,X,X
