"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Jul-27-2019)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
California,EIP,2003-04,2003,40,0-4 yr,0,0
California,EIP,2003-04,2003,41,0-4 yr,0,0
California,EIP,2003-04,2003,42,0-4 yr,0,0
California,EIP,2003-04,2003,43,0-4 yr,0,0
California,EIP,2003-04,2003,44,0-4 yr,0,0
California,EIP,2003-04,2003,45,0-4 yr,0,0
California,EIP,2003-04,2003,46,0-4 yr,0,0
California,EIP,2003-04,2003,47,0-4 yr,0,0
California,EIP,2003-04,2003,48,0-4 yr,0,0
California,EIP,2003-04,2003,49,0-4 yr,5.7,5.7
California,EIP,2003-04,2003,50,0-4 yr,24.7,19
California,EIP,2003-04,2003,51,0-4 yr,34.2,9.5
California,EIP,2003-04,2003,52,0-4 yr,39.9,5.7
California,EIP,2003-04,2003,53,0-4 yr,43.7,3.8
California,EIP,2003-04,2004,1,0-4 yr,43.7,0
California,EIP,2003-04,2004,2,0-4 yr,43.7,0
California,EIP,2003-04,2004,3,0-4 yr,43.7,0
California,EIP,2003-04,2004,4,0-4 yr,43.7,0
California,EIP,2003-04,2004,5,0-4 yr,43.7,0
California,EIP,2003-04,2004,6,0-4 yr,43.7,0
California,EIP,2003-04,2004,7,0-4 yr,43.7,0
California,EIP,2003-04,2004,8,0-4 yr,43.7,0
California,EIP,2003-04,2004,9,0-4 yr,43.7,0
California,EIP,2003-04,2004,10,0-4 yr,43.7,0
California,EIP,2003-04,2004,11,0-4 yr,43.7,0
California,EIP,2003-04,2004,12,0-4 yr,43.7,0
California,EIP,2003-04,2004,13,0-4 yr,43.7,0
California,EIP,2003-04,2004,14,0-4 yr,43.7,0
California,EIP,2003-04,2004,15,0-4 yr,43.7,0
California,EIP,2003-04,2004,16,0-4 yr,43.7,0
California,EIP,2003-04,2004,17,0-4 yr,43.7,0
California,EIP,2003-04,2003,40,5-17 yr,0,0
California,EIP,2003-04,2003,41,5-17 yr,0,0
California,EIP,2003-04,2003,42,5-17 yr,0,0
California,EIP,2003-04,2003,43,5-17 yr,0,0
California,EIP,2003-04,2003,44,5-17 yr,0.6,0.6
California,EIP,2003-04,2003,45,5-17 yr,0.6,0
California,EIP,2003-04,2003,46,5-17 yr,0.6,0
California,EIP,2003-04,2003,47,5-17 yr,0.6,0
California,EIP,2003-04,2003,48,5-17 yr,1.2,0.6
California,EIP,2003-04,2003,49,5-17 yr,1.2,0
California,EIP,2003-04,2003,50,5-17 yr,1.2,0
California,EIP,2003-04,2003,51,5-17 yr,1.2,0
California,EIP,2003-04,2003,52,5-17 yr,1.8,0.6
California,EIP,2003-04,2003,53,5-17 yr,1.8,0
California,EIP,2003-04,2004,1,5-17 yr,1.8,0
California,EIP,2003-04,2004,2,5-17 yr,1.8,0
California,EIP,2003-04,2004,3,5-17 yr,1.8,0
California,EIP,2003-04,2004,4,5-17 yr,1.8,0
California,EIP,2003-04,2004,5,5-17 yr,1.8,0
California,EIP,2003-04,2004,6,5-17 yr,1.8,0
California,EIP,2003-04,2004,7,5-17 yr,1.8,0
California,EIP,2003-04,2004,8,5-17 yr,1.8,0
California,EIP,2003-04,2004,9,5-17 yr,1.8,0
California,EIP,2003-04,2004,10,5-17 yr,1.8,0
California,EIP,2003-04,2004,11,5-17 yr,1.8,0
California,EIP,2003-04,2004,12,5-17 yr,1.8,0
California,EIP,2003-04,2004,13,5-17 yr,1.8,0
California,EIP,2003-04,2004,14,5-17 yr,1.8,0
California,EIP,2003-04,2004,15,5-17 yr,1.8,0
California,EIP,2003-04,2004,16,5-17 yr,1.8,0
California,EIP,2003-04,2004,17,5-17 yr,1.8,0
California,EIP,2003-04,2003,40,Overall,0,0
California,EIP,2003-04,2003,41,Overall,0,0
California,EIP,2003-04,2003,42,Overall,0,0
California,EIP,2003-04,2003,43,Overall,0,0
California,EIP,2003-04,2003,44,Overall,0.5,0.5
California,EIP,2003-04,2003,45,Overall,0.5,0
California,EIP,2003-04,2003,46,Overall,0.5,0
California,EIP,2003-04,2003,47,Overall,0.5,0
California,EIP,2003-04,2003,48,Overall,0.9,0.5
California,EIP,2003-04,2003,49,Overall,2.3,1.4
California,EIP,2003-04,2003,50,Overall,6.9,4.6
California,EIP,2003-04,2003,51,Overall,9.2,2.3
California,EIP,2003-04,2003,52,Overall,11.1,1.8
California,EIP,2003-04,2003,53,Overall,12,0.9
California,EIP,2003-04,2004,1,Overall,12,0
California,EIP,2003-04,2004,2,Overall,12,0
California,EIP,2003-04,2004,3,Overall,12,0
California,EIP,2003-04,2004,4,Overall,12,0
California,EIP,2003-04,2004,5,Overall,12,0
California,EIP,2003-04,2004,6,Overall,12,0
California,EIP,2003-04,2004,7,Overall,12,0
California,EIP,2003-04,2004,8,Overall,12,0
California,EIP,2003-04,2004,9,Overall,12,0
California,EIP,2003-04,2004,10,Overall,12,0
California,EIP,2003-04,2004,11,Overall,12,0
California,EIP,2003-04,2004,12,Overall,12,0
California,EIP,2003-04,2004,13,Overall,12,0
California,EIP,2003-04,2004,14,Overall,12,0
California,EIP,2003-04,2004,15,Overall,12,0
California,EIP,2003-04,2004,16,Overall,12,0
California,EIP,2003-04,2004,17,Overall,12,0
California,EIP,2004-05,2004,40,0-4 yr,0,0
California,EIP,2004-05,2004,41,0-4 yr,0,0
California,EIP,2004-05,2004,42,0-4 yr,0,0
California,EIP,2004-05,2004,43,0-4 yr,0,0
California,EIP,2004-05,2004,44,0-4 yr,0,0
California,EIP,2004-05,2004,45,0-4 yr,0,0
California,EIP,2004-05,2004,46,0-4 yr,0,0
California,EIP,2004-05,2004,47,0-4 yr,0,0
California,EIP,2004-05,2004,48,0-4 yr,0,0
California,EIP,2004-05,2004,49,0-4 yr,0,0
California,EIP,2004-05,2004,50,0-4 yr,0,0
California,EIP,2004-05,2004,51,0-4 yr,0,0
California,EIP,2004-05,2004,52,0-4 yr,0,0
California,EIP,2004-05,2005,1,0-4 yr,1.9,1.9
California,EIP,2004-05,2005,2,0-4 yr,3.7,1.9
California,EIP,2004-05,2005,3,0-4 yr,3.7,0
California,EIP,2004-05,2005,4,0-4 yr,3.7,0
California,EIP,2004-05,2005,5,0-4 yr,3.7,0
California,EIP,2004-05,2005,6,0-4 yr,3.7,0
California,EIP,2004-05,2005,7,0-4 yr,3.7,0
California,EIP,2004-05,2005,8,0-4 yr,3.7,0
California,EIP,2004-05,2005,9,0-4 yr,3.7,0
California,EIP,2004-05,2005,10,0-4 yr,3.7,0
California,EIP,2004-05,2005,11,0-4 yr,3.7,0
California,EIP,2004-05,2005,12,0-4 yr,3.7,0
California,EIP,2004-05,2005,13,0-4 yr,5.6,1.9
California,EIP,2004-05,2005,14,0-4 yr,5.6,0
California,EIP,2004-05,2005,15,0-4 yr,5.6,0
California,EIP,2004-05,2005,16,0-4 yr,5.6,0
California,EIP,2004-05,2005,17,0-4 yr,5.6,0
California,EIP,2004-05,2004,40,5-17 yr,0,0
California,EIP,2004-05,2004,41,5-17 yr,0,0
California,EIP,2004-05,2004,42,5-17 yr,0,0
California,EIP,2004-05,2004,43,5-17 yr,0,0
California,EIP,2004-05,2004,44,5-17 yr,0,0
California,EIP,2004-05,2004,45,5-17 yr,0,0
California,EIP,2004-05,2004,46,5-17 yr,0,0
California,EIP,2004-05,2004,47,5-17 yr,0,0
California,EIP,2004-05,2004,48,5-17 yr,0,0
California,EIP,2004-05,2004,49,5-17 yr,0,0
California,EIP,2004-05,2004,50,5-17 yr,0,0
California,EIP,2004-05,2004,51,5-17 yr,0,0
California,EIP,2004-05,2004,52,5-17 yr,0,0
California,EIP,2004-05,2005,1,5-17 yr,0,0
California,EIP,2004-05,2005,2,5-17 yr,0.6,0.6
California,EIP,2004-05,2005,3,5-17 yr,0.6,0
California,EIP,2004-05,2005,4,5-17 yr,0.6,0
California,EIP,2004-05,2005,5,5-17 yr,0.6,0
California,EIP,2004-05,2005,6,5-17 yr,0.6,0
California,EIP,2004-05,2005,7,5-17 yr,0.6,0
California,EIP,2004-05,2005,8,5-17 yr,0.6,0
California,EIP,2004-05,2005,9,5-17 yr,0.6,0
California,EIP,2004-05,2005,10,5-17 yr,0.6,0
California,EIP,2004-05,2005,11,5-17 yr,0.6,0
California,EIP,2004-05,2005,12,5-17 yr,0.6,0
California,EIP,2004-05,2005,13,5-17 yr,0.6,0
California,EIP,2004-05,2005,14,5-17 yr,0.6,0
California,EIP,2004-05,2005,15,5-17 yr,0.6,0
California,EIP,2004-05,2005,16,5-17 yr,0.6,0
California,EIP,2004-05,2005,17,5-17 yr,0.6,0
California,EIP,2004-05,2004,40,Overall,0,0
California,EIP,2004-05,2004,41,Overall,0,0
California,EIP,2004-05,2004,42,Overall,0,0
California,EIP,2004-05,2004,43,Overall,0,0
California,EIP,2004-05,2004,44,Overall,0,0
California,EIP,2004-05,2004,45,Overall,0,0
California,EIP,2004-05,2004,46,Overall,0,0
California,EIP,2004-05,2004,47,Overall,0,0
California,EIP,2004-05,2004,48,Overall,0,0
California,EIP,2004-05,2004,49,Overall,0,0
California,EIP,2004-05,2004,50,Overall,0,0
California,EIP,2004-05,2004,51,Overall,0,0
California,EIP,2004-05,2004,52,Overall,0,0
California,EIP,2004-05,2005,1,Overall,0.5,0.5
California,EIP,2004-05,2005,2,Overall,1.4,0.9
California,EIP,2004-05,2005,3,Overall,1.4,0
California,EIP,2004-05,2005,4,Overall,1.4,0
California,EIP,2004-05,2005,5,Overall,1.4,0
California,EIP,2004-05,2005,6,Overall,1.4,0
California,EIP,2004-05,2005,7,Overall,1.4,0
California,EIP,2004-05,2005,8,Overall,1.4,0
California,EIP,2004-05,2005,9,Overall,1.4,0
California,EIP,2004-05,2005,10,Overall,1.4,0
California,EIP,2004-05,2005,11,Overall,1.4,0
California,EIP,2004-05,2005,12,Overall,1.4,0
California,EIP,2004-05,2005,13,Overall,1.8,0.5
California,EIP,2004-05,2005,14,Overall,1.8,0
California,EIP,2004-05,2005,15,Overall,1.8,0
California,EIP,2004-05,2005,16,Overall,1.8,0
California,EIP,2004-05,2005,17,Overall,1.8,0
California,EIP,2005-06,2005,40,0-4 yr,0.9,0.9
California,EIP,2005-06,2005,41,0-4 yr,2.6,1.7
California,EIP,2005-06,2005,42,0-4 yr,2.6,0
California,EIP,2005-06,2005,43,0-4 yr,2.6,0
California,EIP,2005-06,2005,44,0-4 yr,2.6,0
California,EIP,2005-06,2005,45,0-4 yr,2.6,0
California,EIP,2005-06,2005,46,0-4 yr,2.6,0
California,EIP,2005-06,2005,47,0-4 yr,4.4,1.7
California,EIP,2005-06,2005,48,0-4 yr,5.2,0.9
California,EIP,2005-06,2005,49,0-4 yr,7,1.7
California,EIP,2005-06,2005,50,0-4 yr,7.8,0.9
California,EIP,2005-06,2005,51,0-4 yr,14.8,7
California,EIP,2005-06,2005,52,0-4 yr,22.6,7.8
California,EIP,2005-06,2006,1,0-4 yr,27,4.4
California,EIP,2005-06,2006,2,0-4 yr,30.5,3.5
California,EIP,2005-06,2006,3,0-4 yr,33.1,2.6
California,EIP,2005-06,2006,4,0-4 yr,35.7,2.6
California,EIP,2005-06,2006,5,0-4 yr,38.3,2.6
California,EIP,2005-06,2006,6,0-4 yr,40,1.7
California,EIP,2005-06,2006,7,0-4 yr,42.7,2.6
California,EIP,2005-06,2006,8,0-4 yr,47,4.4
California,EIP,2005-06,2006,9,0-4 yr,47.9,0.9
California,EIP,2005-06,2006,10,0-4 yr,49.6,1.7
California,EIP,2005-06,2006,11,0-4 yr,49.6,0
California,EIP,2005-06,2006,12,0-4 yr,51.4,1.7
California,EIP,2005-06,2006,13,0-4 yr,52.2,0.9
California,EIP,2005-06,2006,14,0-4 yr,54,1.7
California,EIP,2005-06,2006,15,0-4 yr,55.7,1.7
California,EIP,2005-06,2006,16,0-4 yr,56.6,0.9
California,EIP,2005-06,2006,17,0-4 yr,56.6,0
California,EIP,2005-06,2005,40,5-17 yr,0,0
California,EIP,2005-06,2005,41,5-17 yr,0,0
California,EIP,2005-06,2005,42,5-17 yr,0,0
California,EIP,2005-06,2005,43,5-17 yr,0,0
California,EIP,2005-06,2005,44,5-17 yr,0,0
California,EIP,2005-06,2005,45,5-17 yr,0,0
California,EIP,2005-06,2005,46,5-17 yr,0,0
California,EIP,2005-06,2005,47,5-17 yr,0,0
California,EIP,2005-06,2005,48,5-17 yr,0,0
California,EIP,2005-06,2005,49,5-17 yr,0,0
California,EIP,2005-06,2005,50,5-17 yr,0,0
California,EIP,2005-06,2005,51,5-17 yr,0,0
California,EIP,2005-06,2005,52,5-17 yr,0,0
California,EIP,2005-06,2006,1,5-17 yr,0,0
California,EIP,2005-06,2006,2,5-17 yr,0,0
California,EIP,2005-06,2006,3,5-17 yr,0,0
California,EIP,2005-06,2006,4,5-17 yr,0,0
California,EIP,2005-06,2006,5,5-17 yr,0,0
California,EIP,2005-06,2006,6,5-17 yr,0,0
California,EIP,2005-06,2006,7,5-17 yr,0,0
California,EIP,2005-06,2006,8,5-17 yr,0,0
California,EIP,2005-06,2006,9,5-17 yr,0,0
California,EIP,2005-06,2006,10,5-17 yr,0,0
California,EIP,2005-06,2006,11,5-17 yr,0,0
California,EIP,2005-06,2006,12,5-17 yr,0,0
California,EIP,2005-06,2006,13,5-17 yr,0,0
California,EIP,2005-06,2006,14,5-17 yr,0,0
California,EIP,2005-06,2006,15,5-17 yr,0,0
California,EIP,2005-06,2006,16,5-17 yr,0,0
California,EIP,2005-06,2006,17,5-17 yr,0,0
California,EIP,2005-06,2005,40,18-49 yr,0,0
California,EIP,2005-06,2005,41,18-49 yr,0,0
California,EIP,2005-06,2005,42,18-49 yr,0,0
California,EIP,2005-06,2005,43,18-49 yr,0,0
California,EIP,2005-06,2005,44,18-49 yr,0,0
California,EIP,2005-06,2005,45,18-49 yr,0,0
California,EIP,2005-06,2005,46,18-49 yr,0,0
California,EIP,2005-06,2005,47,18-49 yr,0,0
California,EIP,2005-06,2005,48,18-49 yr,0,0
California,EIP,2005-06,2005,49,18-49 yr,0,0
California,EIP,2005-06,2005,50,18-49 yr,0,0
California,EIP,2005-06,2005,51,18-49 yr,0,0
California,EIP,2005-06,2005,52,18-49 yr,0,0
California,EIP,2005-06,2006,1,18-49 yr,0,0
