"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Jul-27-2019)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Georgia,EIP,2018-19,2018,40,0-4 yr,0,0
Georgia,EIP,2018-19,2018,41,0-4 yr,0.4,0.4
Georgia,EIP,2018-19,2018,42,0-4 yr,0.4,0
Georgia,EIP,2018-19,2018,43,0-4 yr,0.8,0.4
Georgia,EIP,2018-19,2018,44,0-4 yr,1.5,0.8
Georgia,EIP,2018-19,2018,45,0-4 yr,2.3,0.8
Georgia,EIP,2018-19,2018,46,0-4 yr,3,0.8
Georgia,EIP,2018-19,2018,47,0-4 yr,4.1,1.1
Georgia,EIP,2018-19,2018,48,0-4 yr,6,1.9
Georgia,EIP,2018-19,2018,49,0-4 yr,9.4,3.4
Georgia,EIP,2018-19,2018,50,0-4 yr,15.4,6
Georgia,EIP,2018-19,2018,51,0-4 yr,22.1,6.8
Georgia,EIP,2018-19,2018,52,0-4 yr,29.7,7.5
Georgia,EIP,2018-19,2019,1,0-4 yr,33,3.4
Georgia,EIP,2018-19,2019,2,0-4 yr,33.8,0.8
Georgia,EIP,2018-19,2019,3,0-4 yr,34.9,1.1
Georgia,EIP,2018-19,2019,4,0-4 yr,36.4,1.5
Georgia,EIP,2018-19,2019,5,0-4 yr,38.3,1.9
Georgia,EIP,2018-19,2019,6,0-4 yr,39.4,1.1
Georgia,EIP,2018-19,2019,7,0-4 yr,40.2,0.8
Georgia,EIP,2018-19,2019,8,0-4 yr,42.8,2.6
Georgia,EIP,2018-19,2019,9,0-4 yr,45,2.3
Georgia,EIP,2018-19,2019,10,0-4 yr,45.8,0.8
Georgia,EIP,2018-19,2019,11,0-4 yr,46.9,1.1
Georgia,EIP,2018-19,2019,12,0-4 yr,48.8,1.9
Georgia,EIP,2018-19,2019,13,0-4 yr,50.7,1.9
Georgia,EIP,2018-19,2019,14,0-4 yr,52.9,2.3
Georgia,EIP,2018-19,2019,15,0-4 yr,53.7,0.8
Georgia,EIP,2018-19,2019,16,0-4 yr,54.8,1.1
Georgia,EIP,2018-19,2019,17,0-4 yr,55.9,1.1
Georgia,EIP,2018-19,2018,40,5-17 yr,0,0
Georgia,EIP,2018-19,2018,41,5-17 yr,0,0
Georgia,EIP,2018-19,2018,42,5-17 yr,0,0
Georgia,EIP,2018-19,2018,43,5-17 yr,0,0
Georgia,EIP,2018-19,2018,44,5-17 yr,0.1,0.1
Georgia,EIP,2018-19,2018,45,5-17 yr,0.1,0
Georgia,EIP,2018-19,2018,46,5-17 yr,0.9,0.8
Georgia,EIP,2018-19,2018,47,5-17 yr,1.4,0.4
Georgia,EIP,2018-19,2018,48,5-17 yr,2.7,1.4
Georgia,EIP,2018-19,2018,49,5-17 yr,3.8,1.1
Georgia,EIP,2018-19,2018,50,5-17 yr,6,2.2
Georgia,EIP,2018-19,2018,51,5-17 yr,9.6,3.7
Georgia,EIP,2018-19,2018,52,5-17 yr,11,1.4
Georgia,EIP,2018-19,2019,1,5-17 yr,11.1,0.1
Georgia,EIP,2018-19,2019,2,5-17 yr,11.1,0
Georgia,EIP,2018-19,2019,3,5-17 yr,11.4,0.3
Georgia,EIP,2018-19,2019,4,5-17 yr,11.8,0.4
Georgia,EIP,2018-19,2019,5,5-17 yr,12.3,0.5
Georgia,EIP,2018-19,2019,6,5-17 yr,13,0.7
Georgia,EIP,2018-19,2019,7,5-17 yr,13.5,0.5
Georgia,EIP,2018-19,2019,8,5-17 yr,13.9,0.4
Georgia,EIP,2018-19,2019,9,5-17 yr,14.1,0.1
Georgia,EIP,2018-19,2019,10,5-17 yr,14.1,0
Georgia,EIP,2018-19,2019,11,5-17 yr,14.2,0.1
Georgia,EIP,2018-19,2019,12,5-17 yr,14.5,0.3
Georgia,EIP,2018-19,2019,13,5-17 yr,14.9,0.4
Georgia,EIP,2018-19,2019,14,5-17 yr,15.7,0.8
Georgia,EIP,2018-19,2019,15,5-17 yr,16.2,0.5
Georgia,EIP,2018-19,2019,16,5-17 yr,16.5,0.3
Georgia,EIP,2018-19,2019,17,5-17 yr,16.8,0.3
Georgia,EIP,2018-19,2018,40,18-49 yr,0,0
Georgia,EIP,2018-19,2018,41,18-49 yr,0.1,0.1
Georgia,EIP,2018-19,2018,42,18-49 yr,0.1,0
Georgia,EIP,2018-19,2018,43,18-49 yr,0.1,0
Georgia,EIP,2018-19,2018,44,18-49 yr,0.4,0.3
Georgia,EIP,2018-19,2018,45,18-49 yr,0.7,0.3
Georgia,EIP,2018-19,2018,46,18-49 yr,1.1,0.4
Georgia,EIP,2018-19,2018,47,18-49 yr,1.6,0.5
Georgia,EIP,2018-19,2018,48,18-49 yr,2.5,0.9
Georgia,EIP,2018-19,2018,49,18-49 yr,3,0.6
Georgia,EIP,2018-19,2018,50,18-49 yr,4.3,1.2
Georgia,EIP,2018-19,2018,51,18-49 yr,6.6,2.3
Georgia,EIP,2018-19,2018,52,18-49 yr,8.7,2.1
Georgia,EIP,2018-19,2019,1,18-49 yr,10.2,1.5
Georgia,EIP,2018-19,2019,2,18-49 yr,10.7,0.4
Georgia,EIP,2018-19,2019,3,18-49 yr,11.2,0.6
Georgia,EIP,2018-19,2019,4,18-49 yr,11.7,0.5
Georgia,EIP,2018-19,2019,5,18-49 yr,12.2,0.5
Georgia,EIP,2018-19,2019,6,18-49 yr,12.9,0.7
Georgia,EIP,2018-19,2019,7,18-49 yr,13.6,0.7
Georgia,EIP,2018-19,2019,8,18-49 yr,14.3,0.6
Georgia,EIP,2018-19,2019,9,18-49 yr,14.9,0.6
Georgia,EIP,2018-19,2019,10,18-49 yr,15.6,0.7
Georgia,EIP,2018-19,2019,11,18-49 yr,16.4,0.8
Georgia,EIP,2018-19,2019,12,18-49 yr,16.8,0.5
Georgia,EIP,2018-19,2019,13,18-49 yr,17,0.2
Georgia,EIP,2018-19,2019,14,18-49 yr,17.6,0.6
Georgia,EIP,2018-19,2019,15,18-49 yr,18.1,0.4
Georgia,EIP,2018-19,2019,16,18-49 yr,18.2,0.1
Georgia,EIP,2018-19,2019,17,18-49 yr,18.3,0.1
Georgia,EIP,2018-19,2018,40,50-64 yr,0.1,0.1
Georgia,EIP,2018-19,2018,41,50-64 yr,0.1,0
Georgia,EIP,2018-19,2018,42,50-64 yr,0.3,0.1
Georgia,EIP,2018-19,2018,43,50-64 yr,0.5,0.3
Georgia,EIP,2018-19,2018,44,50-64 yr,0.5,0
Georgia,EIP,2018-19,2018,45,50-64 yr,2,1.5
Georgia,EIP,2018-19,2018,46,50-64 yr,2.7,0.7
Georgia,EIP,2018-19,2018,47,50-64 yr,3.3,0.7
Georgia,EIP,2018-19,2018,48,50-64 yr,4.1,0.8
Georgia,EIP,2018-19,2018,49,50-64 yr,6.1,2
Georgia,EIP,2018-19,2018,50,50-64 yr,10.5,4.4
Georgia,EIP,2018-19,2018,51,50-64 yr,14.8,4.3
Georgia,EIP,2018-19,2018,52,50-64 yr,20.7,6
Georgia,EIP,2018-19,2019,1,50-64 yr,24.6,3.9
Georgia,EIP,2018-19,2019,2,50-64 yr,26.3,1.7
Georgia,EIP,2018-19,2019,3,50-64 yr,27.9,1.6
Georgia,EIP,2018-19,2019,4,50-64 yr,28.7,0.8
Georgia,EIP,2018-19,2019,5,50-64 yr,30.2,1.5
Georgia,EIP,2018-19,2019,6,50-64 yr,31.3,1.1
Georgia,EIP,2018-19,2019,7,50-64 yr,33.2,2
Georgia,EIP,2018-19,2019,8,50-64 yr,35.4,2.1
Georgia,EIP,2018-19,2019,9,50-64 yr,36.3,0.9
Georgia,EIP,2018-19,2019,10,50-64 yr,38,1.7
Georgia,EIP,2018-19,2019,11,50-64 yr,39.1,1.1
Georgia,EIP,2018-19,2019,12,50-64 yr,40.4,1.3
Georgia,EIP,2018-19,2019,13,50-64 yr,41.6,1.2
Georgia,EIP,2018-19,2019,14,50-64 yr,43.1,1.5
Georgia,EIP,2018-19,2019,15,50-64 yr,43.8,0.7
Georgia,EIP,2018-19,2019,16,50-64 yr,44,0.3
Georgia,EIP,2018-19,2019,17,50-64 yr,44.4,0.4
Georgia,EIP,2018-19,2018,40,65+ yr,0.2,0.2
Georgia,EIP,2018-19,2018,41,65+ yr,0.9,0.7
Georgia,EIP,2018-19,2018,42,65+ yr,1.3,0.4
Georgia,EIP,2018-19,2018,43,65+ yr,1.8,0.4
Georgia,EIP,2018-19,2018,44,65+ yr,2.2,0.4
Georgia,EIP,2018-19,2018,45,65+ yr,2.9,0.7
Georgia,EIP,2018-19,2018,46,65+ yr,4.6,1.8
Georgia,EIP,2018-19,2018,47,65+ yr,7.1,2.4
Georgia,EIP,2018-19,2018,48,65+ yr,9.3,2.2
Georgia,EIP,2018-19,2018,49,65+ yr,13.9,4.6
Georgia,EIP,2018-19,2018,50,65+ yr,21.8,7.9
Georgia,EIP,2018-19,2018,51,65+ yr,34.8,13
Georgia,EIP,2018-19,2018,52,65+ yr,54.7,19.8
Georgia,EIP,2018-19,2019,1,65+ yr,71,16.3
Georgia,EIP,2018-19,2019,2,65+ yr,76.5,5.5
Georgia,EIP,2018-19,2019,3,65+ yr,81.1,4.6
Georgia,EIP,2018-19,2019,4,65+ yr,86.2,5.1
Georgia,EIP,2018-19,2019,5,65+ yr,90.8,4.6
Georgia,EIP,2018-19,2019,6,65+ yr,100.7,9.9
Georgia,EIP,2018-19,2019,7,65+ yr,109.1,8.4
Georgia,EIP,2018-19,2019,8,65+ yr,116.2,7.1
Georgia,EIP,2018-19,2019,9,65+ yr,121.2,5.1
Georgia,EIP,2018-19,2019,10,65+ yr,124.5,3.3
Georgia,EIP,2018-19,2019,11,65+ yr,129.6,5.1
Georgia,EIP,2018-19,2019,12,65+ yr,134,4.4
Georgia,EIP,2018-19,2019,13,65+ yr,136.7,2.6
Georgia,EIP,2018-19,2019,14,65+ yr,138.2,1.5
Georgia,EIP,2018-19,2019,15,65+ yr,139.5,1.3
Georgia,EIP,2018-19,2019,16,65+ yr,140.8,1.3
Georgia,EIP,2018-19,2019,17,65+ yr,141.3,0.4
Georgia,EIP,2018-19,2018,40,Overall,0,0
Georgia,EIP,2018-19,2018,41,Overall,0.2,0.1
Georgia,EIP,2018-19,2018,42,Overall,0.3,0.1
Georgia,EIP,2018-19,2018,43,Overall,0.4,0.1
Georgia,EIP,2018-19,2018,44,Overall,0.7,0.3
Georgia,EIP,2018-19,2018,45,Overall,1.2,0.5
Georgia,EIP,2018-19,2018,46,Overall,1.9,0.7
Georgia,EIP,2018-19,2018,47,Overall,2.6,0.8
Georgia,EIP,2018-19,2018,48,Overall,3.8,1.1
Georgia,EIP,2018-19,2018,49,Overall,5.4,1.6
Georgia,EIP,2018-19,2018,50,Overall,8.4,3
Georgia,EIP,2018-19,2018,51,Overall,12.8,4.4
Georgia,EIP,2018-19,2018,52,Overall,17.8,5
Georgia,EIP,2018-19,2019,1,Overall,21.3,3.5
Georgia,EIP,2018-19,2019,2,Overall,22.4,1.2
Georgia,EIP,2018-19,2019,3,Overall,23.6,1.2
Georgia,EIP,2018-19,2019,4,Overall,24.7,1.1
Georgia,EIP,2018-19,2019,5,Overall,26,1.2
Georgia,EIP,2018-19,2019,6,Overall,27.8,1.8
Georgia,EIP,2018-19,2019,7,Overall,29.6,1.8
Georgia,EIP,2018-19,2019,8,Overall,31.3,1.7
Georgia,EIP,2018-19,2019,9,Overall,32.4,1.2
Georgia,EIP,2018-19,2019,10,Overall,33.5,1.1
Georgia,EIP,2018-19,2019,11,Overall,34.7,1.2
Georgia,EIP,2018-19,2019,12,Overall,35.8,1.1
Georgia,EIP,2018-19,2019,13,Overall,36.6,0.8
Georgia,EIP,2018-19,2019,14,Overall,37.6,1
Georgia,EIP,2018-19,2019,15,Overall,38.3,0.6
Georgia,EIP,2018-19,2019,16,Overall,38.6,0.4
Georgia,EIP,2018-19,2019,17,Overall,38.9,0.3
Georgia,EIP,2018-19,2018,40,65-74 yr,0.3,0.3
Georgia,EIP,2018-19,2018,41,65-74 yr,1,0.7
Georgia,EIP,2018-19,2018,42,65-74 yr,1,0
Georgia,EIP,2018-19,2018,43,65-74 yr,1.4,0.3
Georgia,EIP,2018-19,2018,44,65-74 yr,1.7,0.3
Georgia,EIP,2018-19,2018,45,65-74 yr,2.1,0.3
Georgia,EIP,2018-19,2018,46,65-74 yr,2.8,0.7
Georgia,EIP,2018-19,2018,47,65-74 yr,4.1,1.4
Georgia,EIP,2018-19,2018,48,65-74 yr,4.8,0.7
Georgia,EIP,2018-19,2018,49,65-74 yr,9.3,4.5
Georgia,EIP,2018-19,2018,50,65-74 yr,13.8,4.5
Georgia,EIP,2018-19,2018,51,65-74 yr,23.5,9.7
Georgia,EIP,2018-19,2018,52,65-74 yr,33.1,9.7
Georgia,EIP,2018-19,2019,1,65-74 yr,40.7,7.6
Georgia,EIP,2018-19,2019,2,65-74 yr,43.5,2.8
Georgia,EIP,2018-19,2019,3,65-74 yr,48,4.5
Georgia,EIP,2018-19,2019,4,65-74 yr,51.4,3.5
Georgia,EIP,2018-19,2019,5,65-74 yr,55.2,3.8
Georgia,EIP,2018-19,2019,6,65-74 yr,60.8,5.5
