"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Jul-27-2019)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
New York - Rochester,EIP,2018-19,2018,40,0-4 yr,0,0
New York - Rochester,EIP,2018-19,2018,41,0-4 yr,0,0
New York - Rochester,EIP,2018-19,2018,42,0-4 yr,0,0
New York - Rochester,EIP,2018-19,2018,43,0-4 yr,0,0
New York - Rochester,EIP,2018-19,2018,44,0-4 yr,0,0
New York - Rochester,EIP,2018-19,2018,45,0-4 yr,0,0
New York - Rochester,EIP,2018-19,2018,46,0-4 yr,0,0
New York - Rochester,EIP,2018-19,2018,47,0-4 yr,0,0
New York - Rochester,EIP,2018-19,2018,48,0-4 yr,0,0
New York - Rochester,EIP,2018-19,2018,49,0-4 yr,1.6,1.6
New York - Rochester,EIP,2018-19,2018,50,0-4 yr,1.6,0
New York - Rochester,EIP,2018-19,2018,51,0-4 yr,1.6,0
New York - Rochester,EIP,2018-19,2018,52,0-4 yr,3.3,1.6
New York - Rochester,EIP,2018-19,2019,1,0-4 yr,8.2,4.9
New York - Rochester,EIP,2018-19,2019,2,0-4 yr,9.9,1.6
New York - Rochester,EIP,2018-19,2019,3,0-4 yr,13.2,3.3
New York - Rochester,EIP,2018-19,2019,4,0-4 yr,18.1,4.9
New York - Rochester,EIP,2018-19,2019,5,0-4 yr,27.9,9.9
New York - Rochester,EIP,2018-19,2019,6,0-4 yr,31.2,3.3
New York - Rochester,EIP,2018-19,2019,7,0-4 yr,39.5,8.2
New York - Rochester,EIP,2018-19,2019,8,0-4 yr,47.7,8.2
New York - Rochester,EIP,2018-19,2019,9,0-4 yr,60.8,13.2
New York - Rochester,EIP,2018-19,2019,10,0-4 yr,65.8,4.9
New York - Rochester,EIP,2018-19,2019,11,0-4 yr,75.6,9.9
New York - Rochester,EIP,2018-19,2019,12,0-4 yr,82.2,6.6
New York - Rochester,EIP,2018-19,2019,13,0-4 yr,85.5,3.3
New York - Rochester,EIP,2018-19,2019,14,0-4 yr,88.8,3.3
New York - Rochester,EIP,2018-19,2019,15,0-4 yr,90.4,1.6
New York - Rochester,EIP,2018-19,2019,16,0-4 yr,92.1,1.6
New York - Rochester,EIP,2018-19,2019,17,0-4 yr,93.7,1.6
New York - Rochester,EIP,2018-19,2018,40,5-17 yr,0,0
New York - Rochester,EIP,2018-19,2018,41,5-17 yr,0,0
New York - Rochester,EIP,2018-19,2018,42,5-17 yr,0,0
New York - Rochester,EIP,2018-19,2018,43,5-17 yr,0,0
New York - Rochester,EIP,2018-19,2018,44,5-17 yr,0,0
New York - Rochester,EIP,2018-19,2018,45,5-17 yr,0,0
New York - Rochester,EIP,2018-19,2018,46,5-17 yr,0,0
New York - Rochester,EIP,2018-19,2018,47,5-17 yr,0,0
New York - Rochester,EIP,2018-19,2018,48,5-17 yr,0,0
New York - Rochester,EIP,2018-19,2018,49,5-17 yr,0,0
New York - Rochester,EIP,2018-19,2018,50,5-17 yr,0,0
New York - Rochester,EIP,2018-19,2018,51,5-17 yr,0,0
New York - Rochester,EIP,2018-19,2018,52,5-17 yr,0,0
New York - Rochester,EIP,2018-19,2019,1,5-17 yr,0,0
New York - Rochester,EIP,2018-19,2019,2,5-17 yr,0,0
New York - Rochester,EIP,2018-19,2019,3,5-17 yr,1.7,1.7
New York - Rochester,EIP,2018-19,2019,4,5-17 yr,3.5,1.7
New York - Rochester,EIP,2018-19,2019,5,5-17 yr,4,0.6
New York - Rochester,EIP,2018-19,2019,6,5-17 yr,5.2,1.2
New York - Rochester,EIP,2018-19,2019,7,5-17 yr,10.4,5.2
New York - Rochester,EIP,2018-19,2019,8,5-17 yr,15,4.6
New York - Rochester,EIP,2018-19,2019,9,5-17 yr,18.4,3.5
New York - Rochester,EIP,2018-19,2019,10,5-17 yr,20.8,2.3
New York - Rochester,EIP,2018-19,2019,11,5-17 yr,23.6,2.9
New York - Rochester,EIP,2018-19,2019,12,5-17 yr,24.8,1.2
New York - Rochester,EIP,2018-19,2019,13,5-17 yr,26.5,1.7
New York - Rochester,EIP,2018-19,2019,14,5-17 yr,27.7,1.2
New York - Rochester,EIP,2018-19,2019,15,5-17 yr,28.8,1.2
New York - Rochester,EIP,2018-19,2019,16,5-17 yr,29.4,0.6
New York - Rochester,EIP,2018-19,2019,17,5-17 yr,30,0.6
New York - Rochester,EIP,2018-19,2018,40,18-49 yr,0,0
New York - Rochester,EIP,2018-19,2018,41,18-49 yr,0,0
New York - Rochester,EIP,2018-19,2018,42,18-49 yr,0,0
New York - Rochester,EIP,2018-19,2018,43,18-49 yr,0,0
New York - Rochester,EIP,2018-19,2018,44,18-49 yr,0,0
New York - Rochester,EIP,2018-19,2018,45,18-49 yr,0,0
New York - Rochester,EIP,2018-19,2018,46,18-49 yr,0,0
New York - Rochester,EIP,2018-19,2018,47,18-49 yr,0.2,0.2
New York - Rochester,EIP,2018-19,2018,48,18-49 yr,0.2,0
New York - Rochester,EIP,2018-19,2018,49,18-49 yr,0.4,0.2
New York - Rochester,EIP,2018-19,2018,50,18-49 yr,0.7,0.2
New York - Rochester,EIP,2018-19,2018,51,18-49 yr,0.7,0
New York - Rochester,EIP,2018-19,2018,52,18-49 yr,1.3,0.7
New York - Rochester,EIP,2018-19,2019,1,18-49 yr,2.8,1.5
New York - Rochester,EIP,2018-19,2019,2,18-49 yr,4.4,1.5
New York - Rochester,EIP,2018-19,2019,3,18-49 yr,6.6,2.2
New York - Rochester,EIP,2018-19,2019,4,18-49 yr,8.1,1.5
New York - Rochester,EIP,2018-19,2019,5,18-49 yr,10.7,2.6
New York - Rochester,EIP,2018-19,2019,6,18-49 yr,14,3.3
New York - Rochester,EIP,2018-19,2019,7,18-49 yr,17.1,3.1
New York - Rochester,EIP,2018-19,2019,8,18-49 yr,22.1,5
New York - Rochester,EIP,2018-19,2019,9,18-49 yr,26.7,4.6
New York - Rochester,EIP,2018-19,2019,10,18-49 yr,31.5,4.8
New York - Rochester,EIP,2018-19,2019,11,18-49 yr,34.3,2.8
New York - Rochester,EIP,2018-19,2019,12,18-49 yr,37.8,3.5
New York - Rochester,EIP,2018-19,2019,13,18-49 yr,40.9,3.1
New York - Rochester,EIP,2018-19,2019,14,18-49 yr,43.5,2.6
New York - Rochester,EIP,2018-19,2019,15,18-49 yr,45.3,1.7
New York - Rochester,EIP,2018-19,2019,16,18-49 yr,46.3,1.1
New York - Rochester,EIP,2018-19,2019,17,18-49 yr,46.8,0.4
New York - Rochester,EIP,2018-19,2018,40,50-64 yr,0,0
New York - Rochester,EIP,2018-19,2018,41,50-64 yr,0,0
New York - Rochester,EIP,2018-19,2018,42,50-64 yr,0,0
New York - Rochester,EIP,2018-19,2018,43,50-64 yr,0,0
New York - Rochester,EIP,2018-19,2018,44,50-64 yr,0,0
New York - Rochester,EIP,2018-19,2018,45,50-64 yr,0,0
New York - Rochester,EIP,2018-19,2018,46,50-64 yr,0,0
New York - Rochester,EIP,2018-19,2018,47,50-64 yr,0.4,0.4
New York - Rochester,EIP,2018-19,2018,48,50-64 yr,0.8,0.4
New York - Rochester,EIP,2018-19,2018,49,50-64 yr,0.8,0
New York - Rochester,EIP,2018-19,2018,50,50-64 yr,1.2,0.4
New York - Rochester,EIP,2018-19,2018,51,50-64 yr,2.5,1.2
New York - Rochester,EIP,2018-19,2018,52,50-64 yr,3.7,1.2
New York - Rochester,EIP,2018-19,2019,1,50-64 yr,7,3.3
New York - Rochester,EIP,2018-19,2019,2,50-64 yr,10.3,3.3
New York - Rochester,EIP,2018-19,2019,3,50-64 yr,14.5,4.1
New York - Rochester,EIP,2018-19,2019,4,50-64 yr,17.8,3.3
New York - Rochester,EIP,2018-19,2019,5,50-64 yr,26.1,8.3
New York - Rochester,EIP,2018-19,2019,6,50-64 yr,35.2,9.1
New York - Rochester,EIP,2018-19,2019,7,50-64 yr,45.9,10.8
New York - Rochester,EIP,2018-19,2019,8,50-64 yr,59.6,13.7
New York - Rochester,EIP,2018-19,2019,9,50-64 yr,76.6,17
New York - Rochester,EIP,2018-19,2019,10,50-64 yr,87.3,10.8
New York - Rochester,EIP,2018-19,2019,11,50-64 yr,99.7,12.4
New York - Rochester,EIP,2018-19,2019,12,50-64 yr,109.3,9.5
New York - Rochester,EIP,2018-19,2019,13,50-64 yr,118,8.7
New York - Rochester,EIP,2018-19,2019,14,50-64 yr,125.4,7.4
New York - Rochester,EIP,2018-19,2019,15,50-64 yr,131.2,5.8
New York - Rochester,EIP,2018-19,2019,16,50-64 yr,134.9,3.7
New York - Rochester,EIP,2018-19,2019,17,50-64 yr,136.2,1.2
New York - Rochester,EIP,2018-19,2018,40,65+ yr,0,0
New York - Rochester,EIP,2018-19,2018,41,65+ yr,0,0
New York - Rochester,EIP,2018-19,2018,42,65+ yr,0.5,0.5
New York - Rochester,EIP,2018-19,2018,43,65+ yr,0.5,0
New York - Rochester,EIP,2018-19,2018,44,65+ yr,0.5,0
New York - Rochester,EIP,2018-19,2018,45,65+ yr,0.5,0
New York - Rochester,EIP,2018-19,2018,46,65+ yr,1,0.5
New York - Rochester,EIP,2018-19,2018,47,65+ yr,1,0
New York - Rochester,EIP,2018-19,2018,48,65+ yr,2,1
New York - Rochester,EIP,2018-19,2018,49,65+ yr,2,0
New York - Rochester,EIP,2018-19,2018,50,65+ yr,2,0
New York - Rochester,EIP,2018-19,2018,51,65+ yr,3.1,1
New York - Rochester,EIP,2018-19,2018,52,65+ yr,7.1,4.1
New York - Rochester,EIP,2018-19,2019,1,65+ yr,11.2,4.1
New York - Rochester,EIP,2018-19,2019,2,65+ yr,21.4,10.2
New York - Rochester,EIP,2018-19,2019,3,65+ yr,26.5,5.1
New York - Rochester,EIP,2018-19,2019,4,65+ yr,34.2,7.6
New York - Rochester,EIP,2018-19,2019,5,65+ yr,43.9,9.7
New York - Rochester,EIP,2018-19,2019,6,65+ yr,62.2,18.4
