"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Jul-27-2019)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
South Dakota,IHSP,2009-10,2009,35,0-4 yr,0,0
South Dakota,IHSP,2009-10,2009,36,0-4 yr,0,0
South Dakota,IHSP,2009-10,2009,37,0-4 yr,0,0
South Dakota,IHSP,2009-10,2009,38,0-4 yr,7.4,7.4
South Dakota,IHSP,2009-10,2009,39,0-4 yr,11.2,3.7
South Dakota,IHSP,2009-10,2009,40,0-4 yr,37.2,26.1
South Dakota,IHSP,2009-10,2009,41,0-4 yr,111.7,74.5
South Dakota,IHSP,2009-10,2009,42,0-4 yr,201,89.3
South Dakota,IHSP,2009-10,2009,43,0-4 yr,242,41
South Dakota,IHSP,2009-10,2009,44,0-4 yr,253.1,11.2
South Dakota,IHSP,2009-10,2009,45,0-4 yr,260.6,7.4
South Dakota,IHSP,2009-10,2009,46,0-4 yr,264.3,3.7
South Dakota,IHSP,2009-10,2009,47,0-4 yr,268,3.7
South Dakota,IHSP,2009-10,2009,48,0-4 yr,268,0
South Dakota,IHSP,2009-10,2009,49,0-4 yr,271.8,3.7
South Dakota,IHSP,2009-10,2009,50,0-4 yr,271.8,0
South Dakota,IHSP,2009-10,2009,51,0-4 yr,271.8,0
South Dakota,IHSP,2009-10,2009,52,0-4 yr,271.8,0
South Dakota,IHSP,2009-10,2010,1,0-4 yr,282.9,11.2
South Dakota,IHSP,2009-10,2010,2,0-4 yr,286.7,3.7
South Dakota,IHSP,2009-10,2010,3,0-4 yr,286.7,0
South Dakota,IHSP,2009-10,2010,4,0-4 yr,286.7,0
South Dakota,IHSP,2009-10,2010,5,0-4 yr,297.8,11.2
South Dakota,IHSP,2009-10,2010,6,0-4 yr,301.5,3.7
South Dakota,IHSP,2009-10,2010,7,0-4 yr,301.5,0
South Dakota,IHSP,2009-10,2010,8,0-4 yr,309,7.4
