WEEK,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
week_1,,3.59225,1.8239,5.15025,3.2288,1.94142,1.90428,2.41833,2.17645,2.42504,2.26942,2.25405,1.54566,1.98284,2.69151,1.76709,4.96368,4.2112,4.07898,1.98859,3.08102,5.35765,3.63102
week_2,,3.68922,2.54354,3.90316,3.11951,1.67397,1.5901,1.80906,2.20171,2.00195,1.86355,2.09147,1.64224,1.82749,2.91063,1.5434,4.69072,3.46492,3.93762,1.98985,3.01875,5.52437,3.16293
week_3,,4.60396,3.61581,2.91178,3.80424,2.06831,1.81559,1.71202,2.53012,2.05869,1.99986,2.35934,1.96524,1.92606,3.49232,1.64762,4.70473,3.31698,4.15076,2.1071,3.40446,6.34528,3.36599
week_4,,4.91007,4.07912,2.1567,4.18681,2.87301,2.41801,1.5425,3.06524,2.21277,2.4406,3.32331,2.34368,1.92495,4.0037,1.6843,4.1646,3.2407,3.87899,2.19256,3.52869,7.01811,3.89212
week_5,,4.82687,5.0776,1.81295,3.9865,2.94909,2.86635,1.43787,3.98061,2.3222,2.83018,4.43381,2.86057,2.08877,4.43534,1.86354,3.69533,2.88598,3.45794,2.30014,4.10665,7.7809,4.53558
week_6,,3.9459,5.04884,1.6166,3.60607,2.92857,3.16662,1.32427,4.59568,2.49279,3.12343,5.34547,3.3421,2.03434,4.24215,1.86408,3.2363,2.62172,3.06359,2.67574,4.7551,7.76939,5.2082
week_7,,3.1081,4.69331,1.26702,2.81015,3.16382,3.0155,1.30726,4.75197,2.79489,3.27019,5.42258,3.20566,1.97649,4.39719,2.01839,2.89421,2.34067,2.82646,3.02427,4.65163,6.81176,5.45155
week_8,,2.13953,4.23423,1.14107,2.41561,3.12121,2.9978,1.03698,4.17962,2.96911,3.17757,5.30303,3.10049,1.99362,3.90256,2.10385,2.71742,2.12059,2.3599,3.11328,4.57049,5.15749,5.30631
week_9,,1.43954,4.02363,1.23509,1.73272,2.73515,2.31957,1.01032,3.45359,2.83959,2.72364,4.24456,2.95819,1.85383,3.15073,2.09555,2.52297,1.91094,2.33472,3.32788,3.45522,3.55945,4.62233
week_10,,1.47879,2.99348,1.01933,1.64319,2.15302,1.94707,1.05249,3.15852,2.77799,2.50201,3.628,2.46381,1.8673,2.72422,2.10398,2.55227,1.9023,2.21286,3.5918,3.29505,3.00518,4.42071
week_11,,1.08556,2.37759,0.926459,1.35803,1.92136,1.72985,1.02009,2.6732,2.47287,2.4272,3.03463,2.19272,1.69987,2.33336,2.2941,2.43225,1.76619,2.07619,3.09262,3.16426,2.73038,4.14642
week_12,,0.997967,2.01715,0.911006,1.39027,1.62731,1.51837,0.924419,2.35161,2.18061,1.96041,2.53595,1.87395,1.49741,1.925,1.92223,2.10851,1.85791,2.01267,2.78803,3.14433,2.47768,3.50489
week_13,,0.744205,1.37688,0.823722,1.2237,1.46179,1.22616,0.790645,1.89243,2.0168,1.5914,2.0573,1.64817,1.45112,1.75243,1.74239,1.94725,1.82094,1.94192,2.52371,2.87936,2.36314,3.06767
week_14,,0.856631,0.88283,0.725443,1.11908,1.1937,1.05433,0.80261,1.5249,1.64101,1.36978,1.7415,1.49878,1.20715,1.57704,1.67601,1.74859,1.83453,1.74809,2.12928,2.36977,2.03139,2.68668
week_15,,0.621737,0.613811,0.579775,0.938967,0.895415,1.07108,0.83613,1.41134,1.35829,1.36317,1.40652,1.29233,1.17415,1.35766,1.49637,1.49713,1.75446,1.50367,2.05142,1.93853,1.80376,2.28448
week_16,,0.670954,0.42177,0.451177,0.944308,0.817901,0.82612,0.792436,1.25068,1.1428,1.1737,1.26861,1.27164,1.16207,1.31223,1.38202,1.32313,1.51636,1.43494,1.98957,1.64064,1.58696,1.9758
week_17,,0.694082,0.615513,0.438685,0.742603,0.705896,0.820505,0.683588,1.20702,1.04031,1.06358,1.07719,2.98159,1.17213,1.14937,1.28926,1.22647,1.40334,1.45673,1.7858,1.4752,1.53801,1.73708
week_18,,0.583457,0.302287,0.440517,0.735456,0.611215,0.630846,0.757452,1.07895,0.964347,0.969711,0.993445,2.43702,1.12168,1.11451,1.35803,1.19614,1.2593,1.42836,1.60144,1.37755,1.44974,1.59059
week_19,,0.57764,0.522623,0.351667,0.725155,0.630622,0.63935,0.788585,1.14521,0.937982,0.965362,0.911212,2.2813,1.14981,1.10984,1.30833,1.19049,1.32482,1.35297,1.4743,1.33771,1.27729,1.47168
week_20,,0.605216,0.529526,0.36646,0.670346,0.573579,0.586609,0.812171,1.06124,0.947449,0.856749,0.972109,3.81572,1.13328,1.0524,1.26692,1.17426,1.27576,1.33093,1.42286,1.34686,1.22051,1.50724
week_40,1.21686,0.697291,0.977255,1.22865,0.997404,1.16668,0.960873,0.897159,1.07635,1.20322,1.07197,1.02284,5.66087,1.13505,1.20345,1.20559,1.13249,1.20612,1.24325,1.27386,1.2802,1.42133,
week_41,1.28064,0.784777,1.06706,1.05545,1.09692,1.2165,1.04325,1.02248,1.05869,1.05788,1.21786,1.03017,6.81522,1.25256,1.23777,1.31929,1.21121,1.32485,1.3234,1.29342,1.33123,1.4746,
week_42,1.23906,0.902906,0.942688,1.15984,1.1679,1.13057,1.0545,1.06296,1.11523,1.13054,1.24576,1.01245,7.61889,1.2457,1.25259,1.32737,1.25682,1.41192,1.40399,1.33097,1.40786,1.58977,
week_43,1.14473,1.13792,1.01621,1.22688,1.26256,1.25246,1.11231,1.14696,1.12381,1.12552,1.35984,1.08359,7.38836,1.26774,1.30546,1.36688,1.37097,1.42547,1.37629,1.42662,1.5722,1.72501,
week_44,1.26112,1.01551,1.19439,1.24107,1.30014,1.30237,1.41274,1.20495,1.25489,1.20808,1.44671,1.16578,6.33927,1.43723,1.45295,1.50535,1.42956,1.43909,1.46866,1.57071,1.70326,1.84103,
week_45,1.28275,1.0009,1.24149,1.4316,1.21838,1.40551,1.72703,1.30517,1.33661,1.34952,1.53286,1.1913,4.94349,1.53341,1.44089,1.61273,1.53588,1.61532,1.533,1.65146,1.86636,1.92737,
week_46,1.44579,1.13895,1.28568,1.49427,1.33993,1.38437,2.407,1.28699,1.37864,1.4689,1.66653,1.28075,3.80996,1.69445,1.46221,1.75208,1.60267,1.66473,1.60841,1.73309,2.07647,2.09281,
week_47,1.64796,1.44938,1.69132,1.84268,1.47679,1.32563,3.10962,1.59468,1.60829,1.82767,1.97488,1.27053,3.44106,1.9915,1.65573,2.33365,1.73267,2.0058,1.90047,2.03388,2.33593,2.40619,
week_48,1.67517,1.13908,1.73731,1.59762,1.41042,1.43475,4.30779,1.39714,1.48311,1.6656,1.67305,1.59578,2.66773,1.81305,1.46606,2.2268,2.09858,2.62227,1.73645,1.88331,2.24637,2.24923,
week_49,1.61739,1.16023,2.33715,1.73473,1.26322,1.25433,4.8303,1.44996,1.65374,1.85968,1.63405,1.4585,2.47183,2.01426,1.51811,2.97657,2.21374,2.60749,1.81945,2.00292,2.49504,2.31067,
week_50,1.76632,1.17127,2.93022,2.04538,1.26864,1.25757,6.42905,1.61745,2.00679,2.38891,1.74595,1.49921,2.345,2.55659,1.66429,3.62552,2.41674,3.4178,1.96571,2.27731,3.2005,2.73537,
week_51,2.10398,1.49061,4.41985,2.41051,1.53452,1.58017,6.86734,2.19112,2.56857,2.78978,1.93643,1.62982,2.71435,3.38185,1.85274,4.5532,3.03071,4.46555,2.42021,2.91465,4.43807,3.24277,
week_52,3.13655,1.84288,5.64698,3.38334,2.12774,1.98008,7.06496,2.56649,3.05278,3.11549,2.48905,2.15561,2.67667,3.43172,2.12413,6.02598,4.38724,6.11497,2.41083,3.54919,5.46361,4.18246,
week_53,3.7185,,,,,,4.55115,,,,,2.02053,,,,,,5.30979,,,,,
