REGION,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,week_52,week_53
Alabama,6.37062875,6.96412625,7.66138125,7.43597875,7.2776025,7.06838625,6.25686125,5.47084875,4.96084625,4.75515625,4.0723175,3.7936375,3.221105,2.604213375,2.304960625,2.42069625,2.244463125,2.169869625,2.119172125,2.209939,1.960352222,2.042203333,2.041153333,2.389465556,2.579153333,2.825045556,3.1395,3.914536667,3.930458889,4.669927778,6.318016667,7.920725556,8.795277778,11.2212
Alaska,1.76689375,2.010300625,1.993346875,1.77127325,2.355048875,2.24450525,2.589672875,2.190691375,2.58962975,2.3737295,2.5311085,2.376835,2.561877,2.405637625,2.073837375,2.1633565,1.51735625,1.512035375,1.12667825,1.370035375,1.226456889,1.353545556,1.229872222,1.204029111,1.306853667,1.565697889,1.544350222,1.562975222,1.568266222,1.510352,1.671861222,2.022890778,2.556303333,2.36626
Arizona,2.90175125,2.64947375,3.1685825,3.21437,3.0879025,3.1705375,3.1467875,3.00424625,2.7150375,2.38435,2.16884125,1.97367025,1.861952,1.824750125,1.781519125,1.76410675,1.72174475,1.659354875,1.474612,1.49286375,1.167948556,1.127332333,1.199398667,1.216596,1.448226111,1.354446222,1.50006,1.573424444,1.793631111,1.921138889,2.279462222,2.662838889,3.080306667,2.65764
Arkansas,4.28181625,5.10114625,5.3730525,5.37403,5.6604375,5.83005625,5.19844125,4.21252,4.00850875,3.50857625,3.21262375,2.53414875,1.7889175,1.33326125,1.35022525,1.203191,1.077472,1.156569375,1.022525375,0.97962925,0.956554111,0.982933,1.086320111,1.162001,1.356330444,1.400975444,1.593387556,1.72407,1.823855556,1.993462222,2.662366667,4.364511111,5.286013333,5.00131
California,4.028955,3.6943125,3.82621375,4.23540875,4.2277175,3.98693625,3.88207,3.714905,3.474365,3.31582875,3.127305,2.79118875,2.7806725,2.33963,2.08960375,1.91561875,1.94003125,1.91071375,1.824315,1.78587625,1.684512222,1.780106667,1.847264444,1.850366667,2.043682222,2.14636,2.273905556,2.429977778,2.276381111,2.456101111,2.832425556,3.457791111,4.553783333,4.77128
Colorado,2.0495775,1.88904725,2.030161,2.077328875,2.2366625,2.02047875,2.11216125,1.724872375,1.673875,1.47881225,1.386396375,1.208327375,0.999176375,0.925042375,0.797264375,0.752490125,0.791449625,0.752729,0.51408165,0.551516375,0.773628556,0.842200778,0.852481778,0.834617556,0.815380889,0.871323111,0.980923778,0.942983,1.168459667,1.415463889,1.659454667,2.075706,2.539259111,4.69657
Connecticut,2.400804375,2.642843,3.06802725,3.09656175,3.47058625,3.837100375,3.558603125,3.18573875,2.664464125,2.435090875,2.04149,1.936752375,2.02467725,1.796879625,1.7194655,1.674267375,1.411044875,1.313975125,1.012581,0.911948138,0.827790922,0.83161,0.893985556,1.030754889,1.298417778,1.331986,1.310891,1.385115333,1.325600222,1.605109556,1.685152444,2.057369222,2.466198889,1.73913
Delaware,1.338099625,1.9604165,1.922857725,2.073742125,1.787819375,1.939443663,1.740423913,1.40083575,1.2096935,1.1513995,0.88389775,0.83539925,0.761937,0.596421125,0.46123325,0.22880485,0.118929038,0.1197388,0.066350075,0.061869213,0.139538056,0.127962822,0.205051878,0.344264411,0.349095256,0.420547178,0.389560456,0.335797867,0.376108978,0.582790667,0.575997222,0.813554278,1.193985444,1.65687
District of Columbia,8.17168875,7.175295,5.4080625,6.25109875,6.358745,6.07481,5.735735,5.4184125,5.3906075,5.62781,5.8610375,5.55835875,5.3806375,4.415905625,3.344122,3.65743185,3.39561,4.19662,3.83774625,4.18303875,3.37787,3.502634667,3.449308333,3.987736667,4.073638889,4.500843333,4.762942222,5.542966667,5.763693333,6.154584444,6.197005556,7.22732,8.032806667,14.8148
Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
