"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Jul-27-2019)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Minnesota,EIP,2018-19,2018,40,0-4 yr,0,0
Minnesota,EIP,2018-19,2018,41,0-4 yr,0,0
Minnesota,EIP,2018-19,2018,42,0-4 yr,0,0
Minnesota,EIP,2018-19,2018,43,0-4 yr,0,0
Minnesota,EIP,2018-19,2018,44,0-4 yr,0.5,0.5
Minnesota,EIP,2018-19,2018,45,0-4 yr,0.5,0
Minnesota,EIP,2018-19,2018,46,0-4 yr,0.5,0
Minnesota,EIP,2018-19,2018,47,0-4 yr,0.5,0
Minnesota,EIP,2018-19,2018,48,0-4 yr,1,0.5
Minnesota,EIP,2018-19,2018,49,0-4 yr,2,1
Minnesota,EIP,2018-19,2018,50,0-4 yr,2.5,0.5
Minnesota,EIP,2018-19,2018,51,0-4 yr,3,0.5
Minnesota,EIP,2018-19,2018,52,0-4 yr,4.5,1.5
Minnesota,EIP,2018-19,2019,1,0-4 yr,5,0.5
Minnesota,EIP,2018-19,2019,2,0-4 yr,8.4,3.5
Minnesota,EIP,2018-19,2019,3,0-4 yr,9.4,1
Minnesota,EIP,2018-19,2019,4,0-4 yr,10.9,1.5
Minnesota,EIP,2018-19,2019,5,0-4 yr,13.4,2.5
Minnesota,EIP,2018-19,2019,6,0-4 yr,15.4,2
Minnesota,EIP,2018-19,2019,7,0-4 yr,18.3,3
Minnesota,EIP,2018-19,2019,8,0-4 yr,22.3,4
Minnesota,EIP,2018-19,2019,9,0-4 yr,25.8,3.5
Minnesota,EIP,2018-19,2019,10,0-4 yr,31.2,5.5
Minnesota,EIP,2018-19,2019,11,0-4 yr,35.7,4.5
Minnesota,EIP,2018-19,2019,12,0-4 yr,38.7,3
Minnesota,EIP,2018-19,2019,13,0-4 yr,43.1,4.5
Minnesota,EIP,2018-19,2019,14,0-4 yr,48.6,5.5
Minnesota,EIP,2018-19,2019,15,0-4 yr,51.5,3
Minnesota,EIP,2018-19,2019,16,0-4 yr,52,0.5
Minnesota,EIP,2018-19,2019,17,0-4 yr,54,2
Minnesota,EIP,2018-19,2018,40,5-17 yr,0,0
Minnesota,EIP,2018-19,2018,41,5-17 yr,0,0
Minnesota,EIP,2018-19,2018,42,5-17 yr,0,0
Minnesota,EIP,2018-19,2018,43,5-17 yr,0,0
Minnesota,EIP,2018-19,2018,44,5-17 yr,0,0
Minnesota,EIP,2018-19,2018,45,5-17 yr,0,0
Minnesota,EIP,2018-19,2018,46,5-17 yr,0,0
Minnesota,EIP,2018-19,2018,47,5-17 yr,0,0
Minnesota,EIP,2018-19,2018,48,5-17 yr,0,0
Minnesota,EIP,2018-19,2018,49,5-17 yr,0.2,0.2
Minnesota,EIP,2018-19,2018,50,5-17 yr,0.4,0.2
Minnesota,EIP,2018-19,2018,51,5-17 yr,0.4,0
Minnesota,EIP,2018-19,2018,52,5-17 yr,0.6,0.2
Minnesota,EIP,2018-19,2019,1,5-17 yr,0.8,0.2
Minnesota,EIP,2018-19,2019,2,5-17 yr,1.2,0.4
Minnesota,EIP,2018-19,2019,3,5-17 yr,1.2,0
Minnesota,EIP,2018-19,2019,4,5-17 yr,1.7,0.6
Minnesota,EIP,2018-19,2019,5,5-17 yr,2.1,0.4
Minnesota,EIP,2018-19,2019,6,5-17 yr,3.1,1
Minnesota,EIP,2018-19,2019,7,5-17 yr,3.7,0.6
Minnesota,EIP,2018-19,2019,8,5-17 yr,4.8,1.2
Minnesota,EIP,2018-19,2019,9,5-17 yr,5.4,0.6
Minnesota,EIP,2018-19,2019,10,5-17 yr,6.1,0.8
Minnesota,EIP,2018-19,2019,11,5-17 yr,8.3,2.1
Minnesota,EIP,2018-19,2019,12,5-17 yr,9,0.8
Minnesota,EIP,2018-19,2019,13,5-17 yr,9.6,0.6
Minnesota,EIP,2018-19,2019,14,5-17 yr,10.6,1
Minnesota,EIP,2018-19,2019,15,5-17 yr,10.8,0.2
Minnesota,EIP,2018-19,2019,16,5-17 yr,10.8,0
Minnesota,EIP,2018-19,2019,17,5-17 yr,10.8,0
Minnesota,EIP,2018-19,2018,40,18-49 yr,0.1,0.1
Minnesota,EIP,2018-19,2018,41,18-49 yr,0.2,0.1
Minnesota,EIP,2018-19,2018,42,18-49 yr,0.3,0.2
Minnesota,EIP,2018-19,2018,43,18-49 yr,0.3,0
Minnesota,EIP,2018-19,2018,44,18-49 yr,0.3,0
Minnesota,EIP,2018-19,2018,45,18-49 yr,0.4,0.1
Minnesota,EIP,2018-19,2018,46,18-49 yr,0.4,0
Minnesota,EIP,2018-19,2018,47,18-49 yr,0.4,0
Minnesota,EIP,2018-19,2018,48,18-49 yr,0.5,0.2
Minnesota,EIP,2018-19,2018,49,18-49 yr,0.7,0.2
Minnesota,EIP,2018-19,2018,50,18-49 yr,1,0.3
Minnesota,EIP,2018-19,2018,51,18-49 yr,1.7,0.7
Minnesota,EIP,2018-19,2018,52,18-49 yr,2,0.3
Minnesota,EIP,2018-19,2019,1,18-49 yr,2.5,0.5
Minnesota,EIP,2018-19,2019,2,18-49 yr,2.9,0.5
Minnesota,EIP,2018-19,2019,3,18-49 yr,3.2,0.3
Minnesota,EIP,2018-19,2019,4,18-49 yr,4.2,1
Minnesota,EIP,2018-19,2019,5,18-49 yr,5.7,1.5
Minnesota,EIP,2018-19,2019,6,18-49 yr,6.6,0.8
Minnesota,EIP,2018-19,2019,7,18-49 yr,8.4,1.8
Minnesota,EIP,2018-19,2019,8,18-49 yr,11.2,2.9
Minnesota,EIP,2018-19,2019,9,18-49 yr,12.8,1.6
Minnesota,EIP,2018-19,2019,10,18-49 yr,14.6,1.8
Minnesota,EIP,2018-19,2019,11,18-49 yr,16.4,1.8
Minnesota,EIP,2018-19,2019,12,18-49 yr,17.4,1
Minnesota,EIP,2018-19,2019,13,18-49 yr,18.6,1.2
Minnesota,EIP,2018-19,2019,14,18-49 yr,19.4,0.8
Minnesota,EIP,2018-19,2019,15,18-49 yr,20.3,1
Minnesota,EIP,2018-19,2019,16,18-49 yr,20.8,0.5
Minnesota,EIP,2018-19,2019,17,18-49 yr,21.1,0.3
