"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Jul-27-2019)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Oregon,EIP,2018-19,2018,40,0-4 yr,0,0
Oregon,EIP,2018-19,2018,41,0-4 yr,0,0
Oregon,EIP,2018-19,2018,42,0-4 yr,0,0
Oregon,EIP,2018-19,2018,43,0-4 yr,0,0
Oregon,EIP,2018-19,2018,44,0-4 yr,0,0
Oregon,EIP,2018-19,2018,45,0-4 yr,0,0
Oregon,EIP,2018-19,2018,46,0-4 yr,0,0
Oregon,EIP,2018-19,2018,47,0-4 yr,0,0
Oregon,EIP,2018-19,2018,48,0-4 yr,0,0
Oregon,EIP,2018-19,2018,49,0-4 yr,0,0
Oregon,EIP,2018-19,2018,50,0-4 yr,1.9,1.9
Oregon,EIP,2018-19,2018,51,0-4 yr,1.9,0
Oregon,EIP,2018-19,2018,52,0-4 yr,3.9,1.9
Oregon,EIP,2018-19,2019,1,0-4 yr,3.9,0
Oregon,EIP,2018-19,2019,2,0-4 yr,4.8,1
Oregon,EIP,2018-19,2019,3,0-4 yr,5.8,1
Oregon,EIP,2018-19,2019,4,0-4 yr,5.8,0
Oregon,EIP,2018-19,2019,5,0-4 yr,9.7,3.9
Oregon,EIP,2018-19,2019,6,0-4 yr,11.6,1.9
Oregon,EIP,2018-19,2019,7,0-4 yr,12.6,1
Oregon,EIP,2018-19,2019,8,0-4 yr,14.5,1.9
Oregon,EIP,2018-19,2019,9,0-4 yr,21.3,6.8
Oregon,EIP,2018-19,2019,10,0-4 yr,26.1,4.8
Oregon,EIP,2018-19,2019,11,0-4 yr,30.9,4.8
Oregon,EIP,2018-19,2019,12,0-4 yr,35.7,4.8
Oregon,EIP,2018-19,2019,13,0-4 yr,39.6,3.9
Oregon,EIP,2018-19,2019,14,0-4 yr,40.6,1
Oregon,EIP,2018-19,2019,15,0-4 yr,40.6,0
Oregon,EIP,2018-19,2019,16,0-4 yr,40.6,0
Oregon,EIP,2018-19,2019,17,0-4 yr,40.6,0
