"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Jul-27-2019)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Idaho,IHSP,2009-10,2009,35,0-4 yr,0,0
Idaho,IHSP,2009-10,2009,36,0-4 yr,0,0
Idaho,IHSP,2009-10,2009,37,0-4 yr,2.4,2.4
Idaho,IHSP,2009-10,2009,38,0-4 yr,2.4,0
Idaho,IHSP,2009-10,2009,39,0-4 yr,2.4,0
Idaho,IHSP,2009-10,2009,40,0-4 yr,2.4,0
Idaho,IHSP,2009-10,2009,41,0-4 yr,14.4,12
Idaho,IHSP,2009-10,2009,42,0-4 yr,33.6,19.2
Idaho,IHSP,2009-10,2009,43,0-4 yr,43.2,9.6
Idaho,IHSP,2009-10,2009,44,0-4 yr,43.2,0
Idaho,IHSP,2009-10,2009,45,0-4 yr,43.2,0
Idaho,IHSP,2009-10,2009,46,0-4 yr,43.2,0
Idaho,IHSP,2009-10,2009,47,0-4 yr,43.2,0
Idaho,IHSP,2009-10,2009,48,0-4 yr,43.2,0
Idaho,IHSP,2009-10,2009,49,0-4 yr,43.2,0
Idaho,IHSP,2009-10,2009,50,0-4 yr,43.2,0
Idaho,IHSP,2009-10,2009,51,0-4 yr,43.2,0
Idaho,IHSP,2009-10,2009,52,0-4 yr,43.2,0
Idaho,IHSP,2009-10,2010,1,0-4 yr,43.2,0
Idaho,IHSP,2009-10,2010,2,0-4 yr,43.2,0
Idaho,IHSP,2009-10,2010,3,0-4 yr,43.2,0
Idaho,IHSP,2009-10,2010,4,0-4 yr,43.2,0
Idaho,IHSP,2009-10,2010,5,0-4 yr,43.2,0
Idaho,IHSP,2009-10,2010,6,0-4 yr,43.2,0
Idaho,IHSP,2009-10,2010,7,0-4 yr,43.2,0
Idaho,IHSP,2009-10,2010,8,0-4 yr,43.2,0
Idaho,IHSP,2009-10,2010,9,0-4 yr,45.6,2.4
Idaho,IHSP,2009-10,2010,10,0-4 yr,45.6,0
Idaho,IHSP,2009-10,2010,11,0-4 yr,45.6,0
Idaho,IHSP,2009-10,2010,12,0-4 yr,45.6,0
Idaho,IHSP,2009-10,2010,13,0-4 yr,45.6,0
Idaho,IHSP,2009-10,2010,14,0-4 yr,45.6,0
Idaho,IHSP,2009-10,2010,15,0-4 yr,45.6,0
Idaho,IHSP,2009-10,2010,16,0-4 yr,45.6,0
Idaho,IHSP,2009-10,2010,17,0-4 yr,45.6,0
Idaho,IHSP,2009-10,2009,35,5-17 yr,0,0
Idaho,IHSP,2009-10,2009,36,5-17 yr,0,0
Idaho,IHSP,2009-10,2009,37,5-17 yr,1.8,1.8
Idaho,IHSP,2009-10,2009,38,5-17 yr,1.8,0
Idaho,IHSP,2009-10,2009,39,5-17 yr,5.4,3.6
Idaho,IHSP,2009-10,2009,40,5-17 yr,8.2,2.7
Idaho,IHSP,2009-10,2009,41,5-17 yr,17.2,9.1
Idaho,IHSP,2009-10,2009,42,5-17 yr,19.1,1.8
Idaho,IHSP,2009-10,2009,43,5-17 yr,20.9,1.8
Idaho,IHSP,2009-10,2009,44,5-17 yr,21.8,0.9
Idaho,IHSP,2009-10,2009,45,5-17 yr,21.8,0
Idaho,IHSP,2009-10,2009,46,5-17 yr,21.8,0
Idaho,IHSP,2009-10,2009,47,5-17 yr,21.8,0
Idaho,IHSP,2009-10,2009,48,5-17 yr,21.8,0
Idaho,IHSP,2009-10,2009,49,5-17 yr,21.8,0
Idaho,IHSP,2009-10,2009,50,5-17 yr,21.8,0
Idaho,IHSP,2009-10,2009,51,5-17 yr,21.8,0
Idaho,IHSP,2009-10,2009,52,5-17 yr,21.8,0
Idaho,IHSP,2009-10,2010,1,5-17 yr,21.8,0
Idaho,IHSP,2009-10,2010,2,5-17 yr,21.8,0
Idaho,IHSP,2009-10,2010,3,5-17 yr,21.8,0
Idaho,IHSP,2009-10,2010,4,5-17 yr,21.8,0
Idaho,IHSP,2009-10,2010,5,5-17 yr,21.8,0
Idaho,IHSP,2009-10,2010,6,5-17 yr,21.8,0
Idaho,IHSP,2009-10,2010,7,5-17 yr,21.8,0
Idaho,IHSP,2009-10,2010,8,5-17 yr,21.8,0
Idaho,IHSP,2009-10,2010,9,5-17 yr,21.8,0
Idaho,IHSP,2009-10,2010,10,5-17 yr,21.8,0
Idaho,IHSP,2009-10,2010,11,5-17 yr,21.8,0
Idaho,IHSP,2009-10,2010,12,5-17 yr,21.8,0
Idaho,IHSP,2009-10,2010,13,5-17 yr,21.8,0
Idaho,IHSP,2009-10,2010,14,5-17 yr,21.8,0
Idaho,IHSP,2009-10,2010,15,5-17 yr,21.8,0
Idaho,IHSP,2009-10,2010,16,5-17 yr,21.8,0
Idaho,IHSP,2009-10,2010,17,5-17 yr,21.8,0
Idaho,IHSP,2009-10,2009,35,18-49 yr,0,0
Idaho,IHSP,2009-10,2009,36,18-49 yr,0,0
Idaho,IHSP,2009-10,2009,37,18-49 yr,0.8,0.8
Idaho,IHSP,2009-10,2009,38,18-49 yr,0.8,0
Idaho,IHSP,2009-10,2009,39,18-49 yr,3.2,2.4
Idaho,IHSP,2009-10,2009,40,18-49 yr,5.6,2.4
Idaho,IHSP,2009-10,2009,41,18-49 yr,11.2,5.6
Idaho,IHSP,2009-10,2009,42,18-49 yr,15.5,4.4
Idaho,IHSP,2009-10,2009,43,18-49 yr,17.9,2.4
Idaho,IHSP,2009-10,2009,44,18-49 yr,19.1,1.2
Idaho,IHSP,2009-10,2009,45,18-49 yr,19.9,0.8
Idaho,IHSP,2009-10,2009,46,18-49 yr,19.9,0
Idaho,IHSP,2009-10,2009,47,18-49 yr,19.9,0
Idaho,IHSP,2009-10,2009,48,18-49 yr,19.9,0
Idaho,IHSP,2009-10,2009,49,18-49 yr,20.3,0.4
Idaho,IHSP,2009-10,2009,50,18-49 yr,20.3,0
Idaho,IHSP,2009-10,2009,51,18-49 yr,20.3,0
Idaho,IHSP,2009-10,2009,52,18-49 yr,20.7,0.4
Idaho,IHSP,2009-10,2010,1,18-49 yr,21.1,0.4
Idaho,IHSP,2009-10,2010,2,18-49 yr,21.1,0
Idaho,IHSP,2009-10,2010,3,18-49 yr,21.5,0.4
Idaho,IHSP,2009-10,2010,4,18-49 yr,21.5,0
Idaho,IHSP,2009-10,2010,5,18-49 yr,21.5,0
Idaho,IHSP,2009-10,2010,6,18-49 yr,21.5,0
