"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Jul-27-2019)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Iowa,IHSP,2009-10,2009,35,0-4 yr,0,0
Iowa,IHSP,2009-10,2009,36,0-4 yr,0,0
Iowa,IHSP,2009-10,2009,37,0-4 yr,0,0
Iowa,IHSP,2009-10,2009,38,0-4 yr,0,0
Iowa,IHSP,2009-10,2009,39,0-4 yr,1.2,1.2
Iowa,IHSP,2009-10,2009,40,0-4 yr,3.7,2.5
Iowa,IHSP,2009-10,2009,41,0-4 yr,9.9,6.2
Iowa,IHSP,2009-10,2009,42,0-4 yr,18.5,8.6
Iowa,IHSP,2009-10,2009,43,0-4 yr,19.7,1.2
Iowa,IHSP,2009-10,2009,44,0-4 yr,22.2,2.5
Iowa,IHSP,2009-10,2009,45,0-4 yr,22.2,0
Iowa,IHSP,2009-10,2009,46,0-4 yr,22.2,0
Iowa,IHSP,2009-10,2009,47,0-4 yr,22.2,0
Iowa,IHSP,2009-10,2009,48,0-4 yr,22.2,0
Iowa,IHSP,2009-10,2009,49,0-4 yr,23.4,1.2
Iowa,IHSP,2009-10,2009,50,0-4 yr,23.4,0
Iowa,IHSP,2009-10,2009,51,0-4 yr,23.4,0
Iowa,IHSP,2009-10,2009,52,0-4 yr,23.4,0
Iowa,IHSP,2009-10,2010,1,0-4 yr,23.4,0
Iowa,IHSP,2009-10,2010,2,0-4 yr,23.4,0
Iowa,IHSP,2009-10,2010,3,0-4 yr,23.4,0
Iowa,IHSP,2009-10,2010,4,0-4 yr,23.4,0
Iowa,IHSP,2009-10,2010,5,0-4 yr,23.4,0
Iowa,IHSP,2009-10,2010,6,0-4 yr,23.4,0
Iowa,IHSP,2009-10,2010,7,0-4 yr,23.4,0
Iowa,IHSP,2009-10,2010,8,0-4 yr,23.4,0
Iowa,IHSP,2009-10,2010,9,0-4 yr,23.4,0
Iowa,IHSP,2009-10,2010,10,0-4 yr,23.4,0
Iowa,IHSP,2009-10,2010,11,0-4 yr,23.4,0
Iowa,IHSP,2009-10,2010,12,0-4 yr,23.4,0
Iowa,IHSP,2009-10,2010,13,0-4 yr,23.4,0
Iowa,IHSP,2009-10,2010,14,0-4 yr,23.4,0
Iowa,IHSP,2009-10,2010,15,0-4 yr,23.4,0
Iowa,IHSP,2009-10,2010,16,0-4 yr,23.4,0
Iowa,IHSP,2009-10,2010,17,0-4 yr,23.4,0
Iowa,IHSP,2009-10,2009,35,5-17 yr,0,0
Iowa,IHSP,2009-10,2009,36,5-17 yr,0,0
