REGION,YEAR,WEEK,PERCENTP&I,NUMINFLUENZADEATHS,NUMPNEUMONIADEATHS,TOTALDEATHS,PERCENTCOMPLETE
Alabama,2009-10,40,7.1,6,62,952,> 100%
Alabama,2009-10,41,6.9,3,57,869,94.10%
Alabama,2009-10,42,7.7,2,69,922,99.80%
Alabama,2009-10,43,7.1,4,62,929,> 100%
Alabama,2009-10,44,8.2,0,71,869,94.10%
Alabama,2009-10,45,7.6,1,67,891,96.50%
Alabama,2009-10,46,7.8,1,66,864,93.50%
Alabama,2009-10,47,7.2,3,63,917,99.30%
Alabama,2009-10,48,6.5,2,61,976,> 100%
Alabama,2009-10,49,6.9,0,68,989,> 100%
Alabama,2009-10,50,8.5,1,84,"1,002",> 100%
Alabama,2009-10,51,6.9,1,67,979,> 100%
Alabama,2009-10,52,7.4,1,71,972,> 100%
Alabama,2009-10,1,8.6,0,89,"1,031",> 100%
Alabama,2009-10,2,8.6,1,87,"1,020",> 100%
Alabama,2009-10,3,8.2,2,79,993,> 100%
Alabama,2009-10,4,10.3,1,102,997,> 100%
Alabama,2009-10,5,6.8,0,68,"1,006",> 100%
Alabama,2009-10,6,7.5,1,80,"1,073",> 100%
Alabama,2009-10,7,8.3,1,85,"1,035",> 100%
Alabama,2009-10,8,8.1,0,81,995,> 100%
Alabama,2009-10,9,8.1,1,77,968,> 100%
Alabama,2009-10,10,7.5,2,72,987,> 100%
Alabama,2009-10,11,7.4,1,73,"1,006",> 100%
Alabama,2009-10,12,8.3,1,74,899,97.30%
Alabama,2009-10,13,8,2,71,909,98.40%
Alabama,2009-10,14,8.1,0,74,912,98.70%
Alabama,2009-10,15,8.5,0,75,881,95.40%
Alabama,2009-10,16,6.5,0,59,908,98.30%
Alabama,2009-10,17,7.2,0,63,878,95.10%
Alabama,2009-10,18,6.9,1,60,886,95.90%
Alabama,2009-10,19,7.9,0,72,911,98.60%
Alabama,2009-10,20,8.4,0,71,844,91.40%
Alabama,2009-10,21,6.7,1,57,863,93.40%
Alabama,2009-10,22,7,0,63,900,97.40%
Alabama,2009-10,23,7.1,0,65,914,99%
Alabama,2009-10,24,5.8,0,54,929,> 100%
Alabama,2009-10,25,6.1,0,53,870,94.20%
Alabama,2009-10,26,6,0,49,821,88.90%
Alabama,2009-10,27,7.4,0,61,822,89%
Alabama,2009-10,28,5.5,0,49,885,95.80%
Alabama,2009-10,29,6,0,53,880,95.30%
Alabama,2009-10,30,5,0,43,856,92.70%
Alabama,2009-10,31,7.3,0,67,922,99.80%
Alabama,2009-10,32,4.7,0,43,914,99%
Alabama,2009-10,33,6,0,50,838,90.70%
Alabama,2009-10,34,6.3,0,54,856,92.70%
Alabama,2009-10,35,6.5,0,56,858,92.90%
Alabama,2009-10,36,6.1,0,54,887,96%
Alabama,2009-10,37,7.4,0,64,860,93.10%
Alabama,2009-10,38,6,0,53,881,95.40%
Alabama,2009-10,39,5,0,42,844,91.40%
Alaska,2009-10,40,4,0,3,75,> 100%
Alaska,2009-10,41,5.1,0,3,59,81.90%
Alaska,2009-10,42,5.4,0,3,56,77.70%
Alaska,2009-10,43,3.4,0,2,59,81.90%
Alaska,2009-10,44,7.3,0,6,82,> 100%
Alaska,2009-10,45,10.5,2,6,76,> 100%
Alaska,2009-10,46,3.4,0,3,87,> 100%
Alaska,2009-10,47,9.2,0,7,76,> 100%
Alaska,2009-10,48,4.7,0,4,85,> 100%
Alaska,2009-10,49,7.9,0,5,63,87.40%
Alaska,2009-10,50,8.2,0,5,61,84.60%
Alaska,2009-10,51,10.8,0,8,74,> 100%
Alaska,2009-10,52,3.3,0,2,60,83.20%
Alaska,2009-10,1,4.7,0,4,86,> 100%
Alaska,2009-10,2,3,0,2,66,91.60%
Alaska,2009-10,3,4.6,0,3,65,90.20%
Alaska,2009-10,4,2.9,0,2,70,97.10%
Alaska,2009-10,5,2.6,0,2,76,> 100%
Alaska,2009-10,6,6.7,1,4,75,> 100%
Alaska,2009-10,7,9.1,0,6,66,91.60%
Alaska,2009-10,8,6.8,0,5,73,> 100%
Alaska,2009-10,9,5.7,0,4,70,97.10%
Alaska,2009-10,10,11.5,0,7,61,84.60%
Alaska,2009-10,11,10.1,0,7,69,95.70%
Alaska,2009-10,12,4.9,0,3,61,84.60%
Alaska,2009-10,13,9.7,0,6,62,86%
Alaska,2009-10,14,9.1,0,7,77,> 100%
Alaska,2009-10,15,5.6,0,4,71,98.50%
Alaska,2009-10,16,4.8,0,3,63,87.40%
Alaska,2009-10,17,10.3,0,8,78,> 100%
Alaska,2009-10,18,1.3,0,1,78,> 100%
Alaska,2009-10,19,8.2,0,6,73,> 100%
Alaska,2009-10,20,15.5,0,9,58,80.50%
Alaska,2009-10,21,4.3,0,3,70,97.10%
Alaska,2009-10,22,3.5,0,2,57,79.10%
Alaska,2009-10,23,5.8,0,4,69,95.70%
Alaska,2009-10,24,4.8,0,3,63,87.40%
Alaska,2009-10,25,6,0,5,83,> 100%
Alaska,2009-10,26,7.6,0,6,79,> 100%
Alaska,2009-10,27,1.3,0,1,78,> 100%
Alaska,2009-10,28,3.2,0,2,63,87.40%
Alaska,2009-10,29,3.8,0,3,80,> 100%
Alaska,2009-10,30,2.7,0,2,74,> 100%
Alaska,2009-10,31,5.5,0,4,73,> 100%
Alaska,2009-10,32,6.3,0,5,79,> 100%
Alaska,2009-10,33,4.3,0,3,69,95.70%
Alaska,2009-10,34,2.6,0,2,76,> 100%
Alaska,2009-10,35,6.3,0,5,79,> 100%
Alaska,2009-10,36,6.3,0,4,64,88.80%
Alaska,2009-10,37,2.9,0,2,68,94.30%
Alaska,2009-10,38,7,0,4,57,79.10%
Alaska,2009-10,39,8.6,0,7,81,> 100%
Arizona,2009-10,40,7.7,10,54,826,91.10%
Arizona,2009-10,41,6.6,11,50,929,> 100%
Arizona,2009-10,42,9.4,13,65,826,91.10%
Arizona,2009-10,43,9,9,70,877,96.70%
Arizona,2009-10,44,8.5,8,71,930,> 100%
Arizona,2009-10,45,7.5,7,56,844,93.10%
Arizona,2009-10,46,6.5,7,51,888,97.90%
Arizona,2009-10,47,5.4,3,42,835,92.10%
Arizona,2009-10,48,7,3,57,857,94.50%
Arizona,2009-10,49,5.2,1,49,956,> 100%
Arizona,2009-10,50,6.8,0,62,910,> 100%
Arizona,2009-10,51,5.6,1,51,936,> 100%
Arizona,2009-10,52,7.3,0,65,894,98.60%
Arizona,2009-10,1,8,2,67,864,95.30%
Arizona,2009-10,2,7.5,0,67,899,99.10%
Arizona,2009-10,3,8.1,3,67,861,94.90%
Arizona,2009-10,4,7.4,0,64,868,95.70%
Arizona,2009-10,5,5.9,0,54,910,> 100%
Arizona,2009-10,6,5.8,1,51,901,99.30%
Arizona,2009-10,7,6.7,1,64,963,> 100%
Arizona,2009-10,8,6.9,0,62,905,99.80%
Arizona,2009-10,9,6.9,0,65,947,> 100%
Arizona,2009-10,10,7.1,0,67,942,> 100%
Arizona,2009-10,11,7.2,0,68,941,> 100%
Arizona,2009-10,12,7.4,0,68,919,> 100%
Arizona,2009-10,13,7,0,67,958,> 100%
Arizona,2009-10,14,7.8,0,73,932,> 100%
Arizona,2009-10,15,6.9,0,64,925,> 100%
Arizona,2009-10,16,6.6,0,57,859,94.70%
Arizona,2009-10,17,6,0,53,877,96.70%
