,Year,week,ILI_weeks,a_influenza,acute_bronchitis,body_temperature,braun_thermoscan,break_a_fever,bronchitis,chest_cold,cold_and_flu,cold_or_flu,cold_versus_flu,cold_vs_flu,contagious_flu,cough_fever,cure_flu,cure_the_flu,dangerous_fever,do_i_have_the_flu,ear_thermometer,early_flu_symptoms,expectorant,exposed_to_flu,fever_cough,fever_flu,fever_reducer,fight_the_flu,flu_and_cold,flu_and_fever,flu_care,flu_children,flu_complications,flu_contagious_period,flu_contagious,flu_cough,flu_duration,flu_fever,flu_germs,flu_headache,flu_how_long,flu_in_children,flu_incubation_period,flu_incubation,flu_lasts,flu_length,flu_medicine,flu_or_cold,flu_recovery,flu_relief,flu_remedies,flu_remedy,flu_report,flu_reports,flu_symptoms,flu_test,flu_treatment,flu_treatments,flu_versus_cold,flu_vs_cold,get_over_the_flu,get_rid_of_the_flu,having_the_flu,high_fever,how_long_contagious,how_long_does_flu_last,how_long_does_the_flu_last,how_long_flu,how_long_is_flu_contagious,how_long_is_the_flu_contagious,how_long_is_the_flu,how_to_get_rid_of_the_flu,how_to_treat_flu,how_to_treat_the_flu,human_temperature,i_have_the_flu,incubation_period_for_flu,incubation_period_for_the_flu,influenza_a_and_b,influenza_a,influenza_contagious,influenza_incubation_period,influenza_incubation,influenza_symptoms,influenza_treatment,influenza_type_a,is_flu_contagious,low_body,medicine_for_flu,medicine_for_the_flu,normal_body_temperature,normal_body,oscillococcinum,over_the_counter_flu_medicine,over_the_counter_flu,painful_cough,pneumonia,rapid_flu,reduce_a_fever,reduce_fever,remedies_for_flu,remedies_for_the_flu,respiratory_flu,robitussin,signs_of_flu,signs_of_the_flu,sinus_infections,sinus,strep_throat,strep,symptoms_of_bronchitis,symptoms_of_flu,symptoms_of_influenza,symptoms_of_pneumonia,symptoms_of_the_flu,taking_temperature,tessalon,the_flu_virus,the_flu,thermoscan,treat_flu,treat_the_flu,treating_flu,treating_the_flu,treatment_for_flu,treatment_for_the_flu,tussin,tussionex,type_a_influenza,upper_respiratory,walking_pneumonia,what_to_do_if_you_have_the_flu,Flu_Visit_Count,ILI_Visit_Count,Unspecified,CDC_Unweighted_ILI,ILI_lagwk1,ILI_lagwk2,ILI_lagwk3,ILI_lagwk4
298,2009,40,WK_40,44,33,81,69,22,40,35,36,37,30,48,21,26,8,10,45,28,68,50,55,59,26,57,22,33,36,60,63,49,29,45,21,58,52,57,39,56,39,51,39,35,49,28,35,37,19,30,33,31,16,9,29,28,28,26,30,48,28,32,32,54,20,36,20,39,13,11,21,25,50,33,91,37,32,40,40,44,9,26,24,25,36,78,16,84,26,20,70,74,69,37,45,20,59,46,33,29,31,20,19,42,33,31,53,58,47,53,39,28,17,36,26,67,36,23,19,49,37,28,36,36,30,42,40,67,78,44,47,56,0.01338,0.01763,0.03074,5.66087,6.81522,7.61889,7.38836,6.33927
299,2009,41,WK_41,51,51,77,46,24,43,35,43,49,41,52,31,34,10,10,54,40,56,62,53,78,34,66,26,52,42,75,75,67,52,56,31,57,59,66,60,61,44,54,45,39,52,44,41,49,37,32,38,47,14,9,31,37,32,34,41,52,44,31,36,61,23,42,25,44,17,14,31,30,32,39,93,58,39,38,35,51,6,16,18,31,40,77,25,85,34,29,64,75,67,33,49,31,65,51,31,35,37,17,24,39,37,35,49,60,47,52,45,30,21,40,28,62,38,25,24,64,38,44,35,64,33,51,45,64,77,45,53,58,0.0162,0.02103,0.03554,6.81522,7.61889,7.38836,6.33927,4.94349
300,2009,42,WK_42,63,38,88,76,30,48,34,45,48,39,59,39,38,11,17,64,48,89,63,59,90,38,78,36,37,45,89,92,89,57,64,39,75,71,78,55,68,57,83,57,47,73,35,47,48,55,47,50,58,16,10,35,36,35,34,39,59,40,38,57,74,29,49,33,57,23,14,36,44,66,60,100,66,53,52,21,63,11,24,19,34,44,94,28,89,42,42,84,92,60,41,51,23,69,37,37,47,55,32,37,40,51,50,59,60,48,52,44,35,26,43,32,71,36,26,26,73,57,55,74,65,37,46,43,63,94,44,57,82,0.02078,0.02626,0.04458,7.61889,7.38836,6.33927,4.94349,3.80996
301,2009,43,WK_43,70,51,100,88,29,54,39,55,57,86,82,48,47,14,20,84,53,94,93,70,99,47,96,38,59,55,94,100,100,87,98,48,100,97,96,78,81,67,100,70,60,71,51,58,57,46,70,58,49,19,12,44,47,46,52,86,82,58,43,61,87,36,62,32,67,31,17,39,30,60,50,93,69,69,71,51,70,11,45,28,36,68,100,37,99,51,48,100,100,95,46,68,30,77,83,51,50,51,40,43,51,59,50,67,62,52,55,59,44,42,55,38,95,35,36,34,89,58,53,89,56,53,78,35,62,100,57,64,54,0.02862,0.035,0.05885,7.38836,6.33927,4.94349,3.80996,3.44106
302,2009,44,WK_44,53,52,96,44,30,55,44,53,68,69,73,50,46,14,20,65,56,91,98,65,99,46,100,36,62,53,100,97,91,100,100,50,100,100,100,57,80,72,86,70,59,48,57,50,68,73,43,61,64,19,11,41,41,44,40,69,73,47,36,50,81,37,62,32,72,32,20,39,33,80,65,99,77,55,70,39,53,12,15,17,37,46,77,34,97,49,40,88,94,84,44,48,27,73,45,58,44,55,49,31,48,58,57,63,59,52,56,65,41,35,57,39,76,38,36,33,81,71,68,100,81,44,81,55,66,77,50,59,77,0.02927,0.03515,0.05945,6.33927,4.94349,3.80996,3.44106,2.66773
303,2009,45,WK_45,43,48,88,58,30,54,48,56,56,87,71,37,39,12,11,59,47,89,70,59,65,39,83,35,58,56,84,73,71,70,79,37,90,74,83,66,69,60,71,51,43,42,37,48,55,53,49,45,62,16,7,33,32,41,33,87,71,47,44,57,68,35,51,27,60,26,14,36,46,47,55,85,63,45,34,29,43,8,18,13,33,37,63,29,90,46,24,90,94,87,31,47,30,75,53,34,39,48,21,23,50,40,42,67,64,52,56,59,31,35,56,31,74,40,27,25,69,49,52,68,53,41,53,46,73,63,58,64,72,0.02414,0.02917,0.05078,4.94349,3.80996,3.44106,2.66773,2.47183
304,2009,46,WK_46,35,31,79,69,17,53,37,43,42,62,56,28,43,9,13,52,40,83,54,53,38,43,66,28,38,44,70,55,53,63,57,29,77,66,66,39,59,43,56,34,29,50,35,35,42,56,39,36,40,8,6,23,19,32,29,62,56,37,25,38,63,26,41,22,43,18,13,29,32,34,24,67,53,29,28,33,35,4,21,11,21,46,46,20,99,33,29,72,78,70,37,36,24,68,25,46,41,45,18,26,48,30,26,66,63,52,54,59,23,28,50,22,62,42,20,19,80,31,31,28,32,31,38,57,54,46,53,61,43,0.01908,0.02351,0.04042,3.80996,3.44106,2.66773,2.47183,2.345
305,2009,47,WK_47,23,46,74,51,19,48,32,36,35,44,45,23,31,5,5,27,28,68,41,55,27,31,44,20,33,36,58,34,38,30,43,23,51,48,44,41,45,31,40,27,23,36,25,23,35,45,25,26,29,8,5,17,16,17,21,44,45,22,22,23,51,26,35,19,31,16,11,16,19,26,19,68,37,15,18,10,23,10,12,8,16,22,25,15,85,21,18,62,70,53,18,20,16,69,26,42,42,23,10,14,44,22,20,69,64,47,51,58,16,16,42,16,48,33,14,14,60,23,17,34,30,17,33,45,70,25,59,56,40,0.01344,0.01711,0.03046,3.44106,2.66773,2.47183,2.345,2.71435
306,2009,48,WK_48,18,32,61,45,15,41,30,23,26,42,31,17,29,5,7,28,23,56,17,50,22,29,33,19,17,23,49,21,22,16,39,17,40,33,33,22,32,21,22,17,14,28,14,12,26,31,20,23,28,8,3,11,11,13,15,42,31,10,19,13,44,24,19,11,21,13,8,9,22,23,12,69,26,11,15,12,18,4,6,6,11,25,14,14,68,19,15,52,57,56,28,20,18,54,19,35,26,14,9,14,43,15,10,59,54,43,47,42,11,10,36,10,45,26,11,8,62,21,15,23,31,14,18,43,49,14,43,43,28,0.00965,0.0133,0.02471,2.66773,2.47183,2.345,2.71435,2.67667
307,2009,49,WK_49,16,38,61,45,11,44,35,27,28,30,30,12,18,5,6,28,15,49,18,58,13,18,27,17,26,27,32,18,22,17,31,12,26,27,27,13,24,17,20,13,9,12,14,15,28,14,17,22,18,4,3,9,8,11,14,30,30,9,12,11,35,17,21,13,17,10,8,12,11,18,19,64,20,9,15,4,16,4,8,7,14,22,16,11,69,20,17,56,65,46,16,14,26,56,17,25,22,16,14,10,46,14,16,66,63,49,53,42,9,18,40,9,43,40,10,8,49,17,24,12,11,15,26,47,55,16,53,53,22,0.00595,0.00868,0.0182,2.47183,2.345,2.71435,2.67667,1.98284
