PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS,,,,,,,,,,,,,,,,
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS,,ILITOTAL
National,X,2004,1,2.89129,2.41833,1930,X,2605,2299,X,768,7602,1160,314349,2004_1,7602
National,X,2004,2,2.10429,1.80906,1679,X,1586,1857,X,461,5583,1141,308614,2004_2,5583
National,X,2004,3,1.88696,1.71202,1721,X,1276,1604,X,360,4961,1084,289774,2004_3,4961
National,X,2004,4,1.7766,1.5425,1487,X,1067,1543,X,339,4436,1071,287586,2004_4,4436
National,X,2004,5,1.46001,1.43787,1454,X,1047,1448,X,302,4251,1054,295646,2004_5,4251
National,X,2004,6,1.37787,1.32427,1420,X,889,1297,X,218,3824,986,288762,2004_6,3824
National,X,2004,7,1.30532,1.30726,1301,X,876,1255,X,259,3691,1004,282347,2004_7,3691
National,X,2004,8,1.08691,1.03698,956,X,719,1038,X,203,2916,948,281202,2004_8,2916
National,X,2004,9,0.991888,1.01032,925,X,682,910,X,227,2744,894,271597,2004_9,2744
National,X,2004,10,1.02765,1.05249,878,X,764,888,X,178,2708,897,257294,2004_10,2708
National,X,2004,11,1.0579,1.02009,730,X,756,826,X,175,2487,849,243802,2004_11,2487
National,X,2004,12,0.849361,0.924419,760,X,628,733,X,179,2300,859,248805,2004_12,2300
National,X,2004,13,0.747127,0.790645,610,X,495,611,X,142,1858,828,234998,2004_13,1858
National,X,2004,14,0.661708,0.80261,583,X,440,566,X,116,1705,774,212432,2004_14,1705
National,X,2004,15,0.679514,0.83613,545,X,500,573,X,131,1749,755,209178,2004_15,1749
National,X,2004,16,0.633071,0.792436,501,X,461,511,X,142,1615,679,203802,2004_16,1615
National,X,2004,17,0.569894,0.683588,470,X,349,404,X,108,1331,658,194708,2004_17,1331
National,X,2004,18,0.591357,0.757452,435,X,383,491,X,85,1394,629,184038,2004_18,1394
National,X,2004,19,0.589044,0.788585,449,X,361,443,X,74,1327,599,168276,2004_19,1327
National,X,2004,20,0.67864,0.812171,451,X,337,380,X,94,1262,553,155386,2004_20,1262
National,X,2004,21,0.637558,0.804463,375,X,280,349,X,66,1070,463,133008,2004_21,1070
National,X,2004,22,0.813309,0.877701,391,X,289,308,X,73,1061,452,120884,2004_22,1061
National,X,2004,23,0.834551,0.741453,355,X,257,309,X,66,987,443,133117,2004_23,987
National,X,2004,24,0.616174,0.661022,307,X,258,240,X,46,851,426,128740,2004_24,851
National,X,2004,25,0.513286,0.715109,277,X,245,284,X,81,887,423,124037,2004_25,887
National,X,2004,26,0.351881,0.562241,238,X,215,183,X,62,698,408,124146,2004_26,698
National,X,2004,27,0.542621,0.786808,233,X,210,205,X,62,710,381,90238,2004_27,710
National,X,2004,28,0.581036,0.860658,249,X,227,280,X,80,836,378,97135,2004_28,836
National,X,2004,29,0.495486,0.689944,259,X,162,200,X,38,659,370,95515,2004_29,659
National,X,2004,30,0.61209,0.779691,260,X,189,230,X,40,719,363,92216,2004_30,719
National,X,2004,31,0.531491,0.628144,213,X,225,235,X,60,733,345,116693,2004_31,733
National,X,2004,32,0.519987,0.902459,243,X,247,256,X,63,809,334,89644,2004_32,809
National,X,2004,33,0.574476,0.806443,256,X,200,256,X,58,770,335,95481,2004_33,770
National,X,2004,34,0.663175,0.874888,259,X,231,265,X,44,799,333,91326,2004_34,799
National,X,2004,35,0.614691,0.993213,279,X,252,358,X,71,960,326,96656,2004_35,960
National,X,2004,36,0.656823,0.876141,281,X,263,309,X,60,913,337,104207,2004_36,913
National,X,2004,37,0.723016,0.948092,342,X,299,413,X,68,1122,341,118343,2004_37,1122
National,X,2004,38,0.691857,0.926943,322,X,268,416,X,83,1089,336,117483,2004_38,1089
National,X,2004,39,0.782758,0.971643,333,X,319,382,X,82,1116,364,114857,2004_39,1116
National,X,2004,40,0.982275,0.897159,877,X,853,1256,X,185,3171,1176,353449,2004_40,3171
National,X,2004,41,1.01821,1.02248,1071,X,971,1373,X,216,3631,1187,355116,2004_41,3631
National,X,2004,42,1.1768,1.06296,1240,X,1019,1534,X,226,4019,1267,378094,2004_42,4019
National,X,2004,43,1.30121,1.14696,1190,X,1223,1671,X,285,4369,1293,380921,2004_43,4369
National,X,2004,44,1.27746,1.20495,1327,X,1215,1718,X,291,4551,1302,377692,2004_44,4551
National,X,2004,45,1.40387,1.30517,1497,X,1279,1874,X,319,4969,1344,380718,2004_45,4969
National,X,2004,46,1.40301,1.28699,1531,X,1279,1874,X,299,4983,1336,387182,2004_46,4983
National,X,2004,47,1.73975,1.59468,1490,X,1274,1678,X,271,4713,1341,295546,2004_47,4713
National,X,2004,48,1.56894,1.39714,1538,X,1434,2059,X,376,5407,1369,387004,2004_48,5407
National,X,2004,49,1.65927,1.44996,1551,X,1450,2052,X,375,5428,1346,374356,2004_49,5428
National,X,2004,50,1.81341,1.61745,1670,X,1643,2071,X,371,5755,1379,355806,2004_50,5755
National,X,2004,51,2.37626,2.19112,1856,X,1608,1807,X,418,5689,1288,259639,2004_51,5689
National,X,2004,52,2.77052,2.56649,2252,X,2413,1993,X,621,7279,1332,283617,2004_52,7279
National,X,2005,1,2.40064,2.17645,2010,X,2869,2450,X,712,8041,1383,369455,2005_1,8041
National,X,2005,2,2.54155,2.20171,2188,X,2542,2982,X,611,8323,1342,378024,2005_2,8323
National,X,2005,3,2.85871,2.53012,2199,X,2839,3682,X,608,9328,1348,368678,2005_3,9328
National,X,2005,4,3.55011,3.06524,2747,X,3586,5364,X,725,12422,1334,405254,2005_4,12422
National,X,2005,5,4.58591,3.98061,3086,X,4498,7650,X,958,16192,1303,406772,2005_5,16192
National,X,2005,6,5.05809,4.59568,3626,X,5757,8854,X,1132,19369,1324,421461,2005_6,19369
National,X,2005,7,5.44151,4.75197,3834,X,6515,8400,X,1182,19931,1330,419426,2005_7,19931
National,X,2005,8,4.4729,4.17962,3720,X,5125,6759,X,1026,16630,1280,397883,2005_8,16630
National,X,2005,9,3.6752,3.45359,2997,X,4058,5343,X,836,13234,1268,383196,2005_9,13234
National,X,2005,10,3.3353,3.15852,2728,X,3634,4494,X,745,11601,1227,367292,2005_10,11601
National,X,2005,11,2.76224,2.6732,2416,X,2969,3513,X,604,9502,1185,355454,2005_11,9502
National,X,2005,12,2.46844,2.35161,2145,X,2434,2771,X,550,7900,1148,335940,2005_12,7900
National,X,2005,13,2.00081,1.89243,1827,X,1979,2133,X,390,6329,1103,334438,2005_13,6329
National,X,2005,14,1.54319,1.5249,1422,X,1327,1737,X,330,4816,1048,315823,2005_14,4816
National,X,2005,15,1.50195,1.41134,1356,X,1169,1603,X,317,4445,1000,314948,2005_15,4445
National,X,2005,16,1.22918,1.25068,1096,X,954,1469,X,306,3825,978,305833,2005_16,3825
National,X,2005,17,1.21854,1.20702,1117,X,894,1411,X,224,3646,971,302065,2005_17,3646
National,X,2005,18,1.15832,1.07895,903,X,762,1136,X,189,2990,923,277120,2005_18,2990
National,X,2005,19,1.249,1.14521,979,X,710,1115,X,208,3012,878,263009,2005_19,3012
National,X,2005,20,1.16888,1.06124,805,X,600,926,X,200,2531,825,238494,2005_20,2531
National,X,2005,21,1.07888,1.0568,687,X,518,695,X,156,2056,687,194550,2005_21,2056
National,X,2005,22,1.23059,1.25193,693,X,568,678,X,160,2099,637,167661,2005_22,2099
National,X,2005,23,1.14747,1.01419,548,X,462,594,X,140,1744,603,171960,2005_23,1744
National,X,2005,24,1.00254,1.04197,573,X,409,507,X,125,1614,582,154899,2005_24,1614
National,X,2005,25,0.957569,0.954027,580,X,431,507,X,110,1628,587,170645,2005_25,1628
National,X,2005,26,0.894837,0.84823,497,X,326,452,X,84,1359,550,160216,2005_26,1359
National,X,2005,27,0.798205,0.841872,426,X,313,390,X,69,1198,533,142302,2005_27,1198
National,X,2005,28,0.757812,0.730894,389,X,323,361,X,75,1148,524,157068,2005_28,1148
National,X,2005,29,0.825963,0.713432,333,X,303,364,X,68,1068,507,149699,2005_29,1068
National,X,2005,30,0.744927,0.670677,328,X,279,327,X,56,990,492,147612,2005_30,990
National,X,2005,31,0.787049,0.689278,331,X,267,326,X,58,982,488,142468,2005_31,982
National,X,2005,32,0.684724,0.704929,319,X,297,350,X,57,1023,479,145121,2005_32,1023
National,X,2005,33,0.747361,0.615903,330,X,225,326,X,47,928,480,150673,2005_33,928
National,X,2005,34,0.673974,0.609426,292,X,265,311,X,54,922,428,151290,2005_34,922
National,X,2005,35,0.869662,0.680259,342,X,273,367,X,51,1033,420,151854,2005_35,1033
National,X,2005,36,0.899529,0.775488,338,X,264,396,X,63,1061,416,136817,2005_36,1061
National,X,2005,37,0.854635,0.683421,302,X,289,383,X,52,1026,408,150127,2005_37,1026
National,X,2005,38,1.01123,0.781075,368,X,285,516,X,50,1219,419,156067,2005_38,1219
National,X,2005,39,0.977808,0.806943,381,X,276,484,X,63,1204,447,149205,2005_39,1204
National,X,2005,40,1.17778,1.07635,1172,X,924,1256,X,234,3586,1113,333164,2005_40,3586
National,X,2005,41,1.21947,1.05869,1285,X,853,1247,X,197,3582,1160,338343,2005_41,3582
National,X,2005,42,1.3069,1.11523,1393,X,992,1525,X,212,4122,1216,369609,2005_42,4122
National,X,2005,43,1.33931,1.12381,1439,X,997,1599,X,213,4248,1237,377999,2005_43,4248
National,X,2005,44,1.58374,1.25489,1639,X,1190,1894,X,282,5005,1280,398840,2005_44,5005
National,X,2005,45,1.47072,1.33661,1563,X,1251,1929,X,295,5038,1272,376924,2005_45,5038
National,X,2005,46,1.6112,1.37864,1679,X,1331,1951,X,315,5276,1277,382697,2005_46,5276
National,X,2005,47,1.82699,1.60829,1666,X,1249,1593,X,294,4802,1301,298578,2005_47,4802
National,X,2005,48,1.77482,1.48311,1858,X,1583,2176,X,349,5966,1325,402264,2005_48,5966
National,X,2005,49,1.94451,1.65374,1987,X,1534,2463,X,387,6371,1328,385248,2005_49,6371
National,X,2005,50,2.35512,2.00679,2241,X,1997,3063,X,396,7697,1318,383548,2005_50,7697
National,X,2005,51,3.10878,2.56857,2696,X,2293,3058,X,530,8577,1287,333921,2005_51,8577
National,X,2005,52,3.28238,3.05278,2678,X,2882,2561,X,721,8842,1273,289638,2005_52,8842
National,X,2006,1,2.62914,2.42504,2422,X,2817,2366,X,734,8339,1319,343871,2006_1,8339
National,X,2006,2,2.2515,2.00195,2272,X,2155,2921,X,534,7882,1339,393716,2006_2,7882
National,X,2006,3,2.35858,2.05869,2249,X,1999,3150,X,460,7858,1297,381699,2006_3,7858
National,X,2006,4,2.41881,2.21277,2643,X,2281,3646,X,544,9114,1331,411882,2006_4,9114
National,X,2006,5,2.52752,2.3222,2612,X,2288,4153,X,498,9551,1320,411291,2006_5,9551
National,X,2006,6,2.64954,2.49279,2754,X,2543,4593,X,537,10427,1311,418286,2006_6,10427
National,X,2006,7,3.12935,2.79489,2624,X,2992,4979,X,631,11226,1288,401661,2006_7,11226
National,X,2006,8,3.12442,2.96911,2753,X,3073,5284,X,791,11901,1288,400827,2006_8,11901
National,X,2006,9,3.13099,2.83959,2579,X,2989,5008,X,767,11343,1275,399459,2006_9,11343
National,X,2006,10,3.08261,2.77799,2564,X,2913,5106,X,678,11261,1257,405365,2006_10,11261
National,X,2006,11,2.64431,2.47287,2330,X,2231,4154,X,607,9322,1241,376971,2006_11,9322
National,X,2006,12,2.42295,2.18061,1895,X,1919,3709,X,541,8064,1217,369804,2006_12,8064
National,X,2006,13,2.31141,2.0168,1697,X,1745,3393,X,478,7313,1165,362605,2006_13,7313
National,X,2006,14,1.86383,1.64101,1437,X,1299,2660,X,342,5738,1133,349662,2006_14,5738
National,X,2006,15,1.44943,1.35829,1181,X,1067,2014,X,285,4547,1087,334760,2006_15,4547
National,X,2006,16,1.30227,1.1428,959,X,873,1479,X,239,3550,1045,310641,2006_16,3550
National,X,2006,17,1.13459,1.04031,836,X,779,1382,X,180,3177,1017,305389,2006_17,3177
National,X,2006,18,1.06255,0.964347,745,X,637,1208,X,190,2780,958,288278,2006_18,2780
