"","Flu.Visit.Count","ILI.Visit.Count","Unspecified.Viral.or.ILI.Visit.Count"
"2009-07-04",0.0018,0.00455,0.01129
"2009-07-11",0.00115,0.00358,0.01017
"2009-07-18",0.00132,0.00376,0.00984
"2009-07-25",0.00109,0.00307,0.00891
"2009-08-01",0.00121,0.00332,0.00877
"2009-08-08",0.00115,0.0032,0.00886
"2009-08-15",0.00123,0.00334,0.00893
"2009-08-22",0.00205,0.0043,0.01066
"2009-08-29",0.00454,0.00729,0.01564
"2009-09-05",0.00628,0.00977,0.02045
"2009-09-12",0.00687,0.01066,0.0223
"2009-09-19",0.00821,0.01183,0.02326
"2009-09-26",0.01025,0.01415,0.02637
"2009-10-03",0.01338,0.01763,0.03074
"2009-10-10",0.0162,0.02103,0.03554
"2009-10-17",0.02078,0.02626,0.04458
"2009-10-24",0.02862,0.035,0.05885
"2009-10-31",0.02927,0.03515,0.05945
"2009-11-07",0.02414,0.02917,0.05078
"2009-11-14",0.01908,0.02351,0.04042
"2009-11-21",0.01344,0.01711,0.03046
"2009-11-28",0.00965,0.0133,0.02471
"2009-12-05",0.00595,0.00868,0.0182
"2009-12-12",0.00442,0.00699,0.01544
"2009-12-19",0.00436,0.00681,0.01545
"2009-12-26",0.00405,0.00702,0.01616
"2010-01-02",0.00344,0.00627,0.01473
"2010-01-09",0.00276,0.00507,0.01241
"2010-01-16",0.0028,0.00529,0.0125
"2010-01-23",0.00261,0.00543,0.013
"2010-01-30",0.00238,0.00534,0.01356
"2010-02-06",0.00263,0.00571,0.01449
"2010-02-13",0.00262,0.00596,0.01483
"2010-02-20",0.00275,0.00595,0.01428
"2010-02-27",0.00287,0.00621,0.01476
"2010-03-06",0.00278,0.0059,0.01401
"2010-03-13",0.00269,0.00574,0.01346
"2010-03-20",0.00201,0.00476,0.0121
"2010-03-27",0.00152,0.00407,0.01104
"2010-04-03",0.00124,0.00402,0.01037
"2010-04-10",0.00093,0.00336,0.00958
"2010-04-17",7e-04,0.00284,0.00886
"2010-04-24",0.00067,0.00294,0.00872
"2010-05-01",0.00061,0.00336,0.00947
"2010-05-08",0.00046,0.00333,0.00946
"2010-05-15",0.00055,0.00329,0.00949
"2010-05-22",5e-04,0.00346,0.00999
"2010-05-29",0.00038,0.00337,0.00976
"2010-06-05",0.00031,0.00334,0.00949
"2010-06-12",0.00028,0.00311,0.00916
"2010-06-19",0.00024,0.00282,0.00855
"2010-06-26",0.00026,0.00285,0.00857
"2010-07-03",3e-04,0.0028,0.00846
"2010-07-10",3e-04,0.00292,0.0082
"2010-07-17",0.00026,0.00244,0.00758
"2010-07-24",0.00022,0.00241,0.00744
"2010-07-31",0.00024,0.00239,0.00722
"2010-08-07",0.00028,0.00237,0.00719
"2010-08-14",0.00027,0.00232,0.00699
"2010-08-21",0.00029,0.00226,0.00705
"2010-08-28",0.00036,0.00246,0.00745
"2010-09-04",0.00046,0.00282,0.00815
"2010-09-11",0.00034,0.00273,0.00863
"2010-09-18",0.00054,0.00268,0.00835
"2010-09-25",0.00048,0.00278,0.0082
"2010-10-02",0.00049,0.00253,0.00812
"2010-10-09",0.00065,0.00266,0.00836
"2010-10-16",6e-04,0.00288,0.00842
"2010-10-23",7e-04,0.00302,0.00898
"2010-10-30",0.00075,0.0031,0.00936
"2010-11-06",0.00087,0.00331,0.00985
